"delta","S","v_star"
0.2,182,-4.70651213994825
0.2,183,-4.70651455656897
0.2,184,-4.70651694691408
0.2,185,-4.70651931140979
0.2,186,-4.70652165047315
0.2,187,-4.7065239645123
0.2,188,-4.70652625392668
0.2,189,-4.70652851910726
0.2,190,-4.70653076043681
0.2,191,-4.70653297829006
0.2,192,-4.70653517303393
0.2,193,-4.70653734502773
0.2,194,-4.70653949462338
0.2,195,-4.70654162216556
0.2,196,-4.70654372799192
0.2,197,-4.70654581243325
0.2,198,-4.70654787581366
0.2,199,-4.70654991845074
0.2,200,-4.70655194065572
0.21,2,-4.40338569970263
0.21,3,-4.42101715819791
0.21,4,-4.42965005006477
0.21,5,-4.43477042057522
0.21,6,-4.43816395144241
0.21,7,-4.44057703692255
0.21,8,-4.44237850800913
0.21,9,-4.44377663811449
0.21,10,-4.44489324504768
0.21,11,-4.4458055791262
0.21,12,-4.44656499630986
0.21,13,-4.44720696886546
0.21,14,-4.44775678530229
0.21,15,-4.44823296016896
0.21,16,-4.44864935982189
0.21,17,-4.4490165749605
0.21,18,-4.44934283394247
0.21,19,-4.44963462666219
0.21,20,-4.44989714063528
0.21,21,-4.45013427404654
0.21,22,-4.4503495769192
0.21,23,-4.45054610325413
0.21,24,-4.45072620665868
0.21,25,-4.45089186315763
0.21,26,-4.45104474399126
0.21,27,-4.4511862721963
0.21,28,-4.45131766703345
0.21,29,-4.45143997920205
0.21,30,-4.45155411899605
0.21,31,-4.45166087899886
0.21,32,-4.45176095251391
0.21,33,-4.45185494863757
0.21,34,-4.45194340466684
0.21,35,-4.45202679637597
0.21,36,-4.45210554657715
0.21,37,-4.45218003229046
0.21,38,-4.4522505907798
0.21,39,-4.45231752465848
0.21,40,-4.45238110622786
0.21,41,-4.45244158117993
0.21,42,-4.45249917177013
0.21,43,-4.45255407954678
0.21,44,-4.45260648770775
0.21,45,-4.45265656314238
0.21,46,-4.4527044582068
0.21,47,-4.45275031227215
0.21,48,-4.45279425307912
0.21,49,-4.45283639792632
0.21,50,-4.45287685471589
0.21,51,-4.45291572287593
0.21,52,-4.4529530941764
0.21,53,-4.45298905345243
0.21,54,-4.45302367924728
0.21,55,-4.45305704438503
0.21,56,-4.45308921648178
0.21,57,-4.45312025840308
0.21,58,-4.45315022867391
0.21,59,-4.45317918184695
0.21,60,-4.45320716883396
0.21,61,-4.45323423720457
0.21,62,-4.45326043145606
0.21,63,-4.45328579325749
0.21,64,-4.45331036167089
0.21,65,-4.45333417335197
0.21,66,-4.45335726273263
0.21,67,-4.45337966218709
0.21,68,-4.4534014021833
0.21,69,-4.45342251142126
0.21,70,-4.45344301695939
0.21,71,-4.45346294433024
0.21,72,-4.45348231764659
0.21,73,-4.45350115969873
0.21,74,-4.45351949204393
0.21,75,-4.45353733508874
0.21,76,-4.45355470816469
0.21,77,-4.45357162959822
0.21,78,-4.45358811677516
0.21,79,-4.45360418620027
0.21,80,-4.45361985355239
0.21,81,-4.45363513373546
0.21,82,-4.4536500409258
0.21,83,-4.45366458861598
0.21,84,-4.45367878965555
0.21,85,-4.45369265628891
0.21,86,-4.4537062001905
0.21,87,-4.45371943249758
0.21,88,-4.45373236384081
0.21,89,-4.45374500437268
0.21,90,-4.45375736379415
0.21,91,-4.45376945137942
0.21,92,-4.4537812759992
0.21,93,-4.45379284614236
0.21,94,-4.4538041699363
0.21,95,-4.45381525516596
0.21,96,-4.45382610929171
0.21,97,-4.45383673946602
0.21,98,-4.45384715254926
0.21,99,-4.45385735512441
0.21,100,-4.45386735351094
0.21,101,-4.4538771537779
0.21,102,-4.45388676175618
0.21,103,-4.45389618305006
0.21,104,-4.45390542304816
0.21,105,-4.45391448693365
0.21,106,-4.45392337969403
0.21,107,-4.4539321061302
0.21,108,-4.45394067086516
0.21,109,-4.45394907835213
0.21,110,-4.45395733288233
0.21,111,-4.4539654385922
0.21,112,-4.45397339947042
0.21,113,-4.45398121936434
0.21,114,-4.45398890198628
0.21,115,-4.45399645091932
0.21,116,-4.45400386962295
0.21,117,-4.45401116143829
0.21,118,-4.45401832959316
0.21,119,-4.4540253772068
0.21,120,-4.45403230729443
0.21,121,-4.45403912277155
0.21,122,-4.45404582645799
0.21,123,-4.45405242108184
0.21,124,-4.45405890928314
0.21,125,-4.45406529361741
0.21,126,-4.454071576559
0.21,127,-4.45407776050426
0.21,128,-4.45408384777465
0.21,129,-4.45408984061959
0.21,130,-4.45409574121925
0.21,131,-4.4541015516872
0.21,132,-4.45410727407294
0.21,133,-4.45411291036428
0.21,134,-4.45411846248969
0.21,135,-4.45412393232043
0.21,136,-4.45412932167273
0.21,137,-4.45413463230977
0.21,138,-4.45413986594357
0.21,139,-4.45414502423687
0.21,140,-4.4541501088049
0.21,141,-4.45415512121701
0.21,142,-4.45416006299836
0.21,143,-4.45416493563141
0.21,144,-4.4541697405574
0.21,145,-4.45417447917784
0.21,146,-4.45417915285579
0.21,147,-4.45418376291721
0.21,148,-4.45418831065221
0.21,149,-4.45419279731626
0.21,150,-4.45419722413131
0.21,151,-4.45420159228695
0.21,152,-4.45420590294145
0.21,153,-4.45421015722277
0.21,154,-4.45421435622957
0.21,155,-4.45421850103214
0.21,156,-4.45422259267333
0.21,157,-4.45422663216938
0.21,158,-4.45423062051082
0.21,159,-4.45423455866324
0.21,160,-4.45423844756807
0.21,161,-4.45424228814336
0.21,162,-4.45424608128446
0.21,163,-4.45424982786477
0.21,164,-4.45425352873635
0.21,165,-4.45425718473061
0.21,166,-4.4542607966589
0.21,167,-4.45426436531316
0.21,168,-4.45426789146645
0.21,169,-4.45427137587351
0.21,170,-4.45427481927134
0.21,171,-4.45427822237969
0.21,172,-4.45428158590154
0.21,173,-4.45428491052364
0.21,174,-4.45428819691693
0.21,175,-4.45429144573701
0.21,176,-4.45429465762459
0.21,177,-4.45429783320587
0.21,178,-4.45430097309298
0.21,179,-4.45430407788439
0.21,180,-4.45430714816523
0.21,181,-4.45431018450771
0.21,182,-4.45431318747148
0.21,183,-4.45431615760391
0.21,184,-4.4543190954405
0.21,185,-4.45432200150516
0.21,186,-4.45432487631051
0.21,187,-4.45432772035824
0.21,188,-4.45433053413932
0.21,189,-4.45433331813435
0.21,190,-4.4543360728138
0.21,191,-4.45433879863828
0.21,192,-4.45434149605883
0.21,193,-4.45434416551709
0.21,194,-4.45434680744563
0.21,195,-4.45434942226813
0.21,196,-4.45435201039961
0.21,197,-4.45435457224668
0.21,198,-4.45435710820773
0.21,199,-4.45435961867311
0.21,200,-4.45436210402541
0.22,2,-4.16190844111332
0.22,3,-4.18345928804837
0.22,4,-4.19396565900187
0.22,5,-4.20018995392876
0.22,6,-4.20430114746934
0.22,7,-4.2072241643308
0.22,8,-4.20940902810368
0.22,9,-4.21110130594268
0.22,10,-4.21245127036089
0.22,11,-4.21355400279044
0.22,12,-4.2144717207198
0.22,13,-4.21524738131241
0.22,14,-4.21591159877799
0.22,15,-4.21648678033442
0.22,16,-4.21698970356541
0.22,17,-4.21743317990795
0.22,18,-4.21782716121324
0.22,19,-4.21817949541375
0.22,20,-4.21849645459317
0.22,21,-4.21878311160982
0.22,22,-4.21904361363432
0.22,23,-4.21928138408321
0.22,24,-4.21949927390196
0.22,25,-4.21969967642464
0.22,26,-4.2198846156463
0.22,27,-4.22005568545348
0.22,28,-4.22021425298712
0.22,29,-4.22036185501654
0.22,30,-4.22049959097589
0.22,31,-4.22062841807652
0.22,32,-4.2207491735839
0.22,33,-4.2208625930345
0.22,34,-4.22096932523052
0.22,35,-4.22106994465842
0.22,36,-4.22116496183301
0.22,37,-4.22125483196073
0.22,38,-4.22133996223211
0.22,39,-4.2214207179901
0.22,40,-4.22149742797128
0.22,41,-4.22157038877868
0.22,42,-4.22163986871433
0.22,43,-4.22170611107615
0.22,44,-4.22176933700436
0.22,45,-4.22182974794782
0.22,46,-4.22188752780801
0.22,47,-4.22194284480895
0.22,48,-4.2219958531329
0.22,49,-4.22204669435555
0.22,50,-4.22209549870864
0.22,51,-4.22214238619384
0.22,52,-4.22218746756788
0.22,53,-4.22223084521604
0.22,54,-4.22227261392843
0.22,55,-4.2223128615914
0.22,56,-4.22235166980486
0.22,57,-4.22238911443447
0.22,58,-4.22242526610664
0.22,59,-4.22246019065314
0.22,60,-4.22249394951117
0.22,61,-4.22252660008405
0.22,62,-4.22255819606692
0.22,63,-4.22258878774144
0.22,64,-4.22261842224278
0.22,65,-4.22264714380196
0.22,66,-4.22267499396611
0.22,67,-4.22270201179902
0.22,68,-4.22272823406392
0.22,69,-4.22275369539042
0.22,70,-4.22277842842704
0.22,71,-4.22280246398089
0.22,72,-4.22282583114573
0.22,73,-4.22284855741937
0.22,74,-4.2228706688117
0.22,75,-4.22289218994393
0.22,76,-4.22291314414007
0.22,77,-4.22293355351126
0.22,78,-4.22295343903357
0.22,79,-4.22297282061995
0.22,80,-4.22299171718668
0.22,81,-4.22301014671503
0.22,82,-4.22302812630827
0.22,83,-4.22304567224462
0.22,84,-4.22306280002644
0.22,85,-4.22307952442586
0.22,86,-4.22309585952734
0.22,87,-4.22311181876715
0.22,88,-4.22312741497029
0.22,89,-4.22314266038485
0.22,90,-4.22315756671407
0.22,91,-4.22317214514631
0.22,92,-4.22318640638307
0.22,93,-4.22320036066519
0.22,94,-4.22321401779733
0.22,95,-4.22322738717101
0.22,96,-4.2232404777861
0.22,97,-4.22325329827104
0.22,98,-4.22326585690181
0.22,99,-4.22327816161973
0.22,100,-4.22329022004821
0.22,101,-4.22330203950853
0.22,102,-4.22331362703462
0.22,103,-4.22332498938704
0.22,104,-4.22333613306613
0.22,105,-4.22334706432442
0.22,106,-4.2233577891783
0.22,107,-4.22336831341912
0.22,108,-4.22337864262352
0.22,109,-4.22338878216341
0.22,110,-4.22339873721516
0.22,111,-4.2234085127685
0.22,112,-4.22341811363483
0.22,113,-4.22342754445511
0.22,114,-4.22343680970734
0.22,115,-4.22344591371367
0.22,116,-4.22345486064709
0.22,117,-4.22346365453786
0.22,118,-4.22347229927948
0.22,119,-4.22348079863453
0.22,120,-4.22348915624008
0.22,121,-4.22349737561288
0.22,122,-4.22350546015429
0.22,123,-4.22351341315501
0.22,124,-4.22352123779951
0.22,125,-4.2235289371703
0.22,126,-4.22353651425194
0.22,127,-4.22354397193498
0.22,128,-4.22355131301953
0.22,129,-4.22355854021887
0.22,130,-4.22356565616272
0.22,131,-4.22357266340045
0.22,132,-4.22357956440413
0.22,133,-4.22358636157146
0.22,134,-4.22359305722851
0.22,135,-4.22359965363237
0.22,136,-4.22360615297374
0.22,137,-4.2236125573793
0.22,138,-4.22361886891406
0.22,139,-4.22362508958357
0.22,140,-4.22363122133604
0.22,141,-4.22363726606439
0.22,142,-4.22364322560817
0.22,143,-4.22364910175548
0.22,144,-4.22365489624469
0.22,145,-4.22366061076621
0.22,146,-4.2236662469641
0.22,147,-4.22367180643765
0.22,148,-4.22367729074294
0.22,149,-4.22368270139421
0.22,150,-4.22368803986533
0.22,151,-4.22369330759109
0.22,152,-4.22369850596851
0.22,153,-4.22370363635807
0.22,154,-4.22370870008488
0.22,155,-4.22371369843986
0.22,156,-4.22371863268079
0.22,157,-4.2237235040334
0.22,158,-4.22372831369237
0.22,159,-4.22373306282231
0.22,160,-4.22373775255871
0.22,161,-4.22374238400882
0.22,162,-4.22374695825254
0.22,163,-4.22375147634327
0.22,164,-4.22375593930869
0.22,165,-4.22376034815156
0.22,166,-4.22376470385047
0.22,167,-4.22376900736054
0.22,168,-4.22377325961417
0.22,169,-4.22377746152166
0.22,170,-4.22378161397189
0.22,171,-4.22378571783292
0.22,172,-4.22378977395264
0.22,173,-4.2237937831593
0.22,174,-4.22379774626213
0.22,175,-4.22380166405183
0.22,176,-4.22380553730113
0.22,177,-4.22380936676529
0.22,178,-4.2238131531826
0.22,179,-4.22381689727482
0.22,180,-4.2238205997477
0.22,181,-4.22382426129134
0.22,182,-4.22382788258071
0.22,183,-4.22383146427599
0.22,184,-4.22383500702303
0.22,185,-4.22383851145367
0.22,186,-4.2238419781862
0.22,187,-4.22384540782566
0.22,188,-4.2238488009642
0.22,189,-4.22385215818144
0.22,190,-4.2238554800448
0.22,191,-4.22385876710981
0.22,192,-4.22386201992042
0.22,193,-4.22386523900929
0.22,194,-4.22386842489812
0.22,195,-4.22387157809787
0.22,196,-4.22387469910909
0.22,197,-4.22387778842217
0.22,198,-4.22388084651756
0.22,199,-4.22388387386608
0.22,200,-4.22388687092911
0.23,2,-3.93814546360685
0.23,3,-3.96408462071913
0.23,4,-3.97666998815459
0.23,5,-3.98410382338346
0.23,6,-3.98901459303028
0.23,7,-3.99249671579221
0.23,8,-3.99509618182276
0.23,9,-3.99711197728327
0.23,10,-3.99872082924134
0.23,11,-4.0000345743233
0.23,12,-4.00112496491802
0.23,13,-4.00204640934767
0.23,14,-4.00283534818271
0.23,15,-4.00351844525127
0.23,16,-4.0041156602495
0.23,17,-4.00464223112294
0.23,18,-4.00510999232093
0.23,19,-4.00552827476684
0.23,20,-4.00590453460691
0.23,21,-4.00624480153576
0.23,22,-4.00655400434319
0.23,23,-4.00683621119791
0.23,24,-4.00709480963089
0.23,25,-4.00733264316432
0.23,26,-4.00755211629944
0.23,27,-4.00775527609439
0.23,28,-4.00794387620363
0.23,29,-4.00811942762585
0.23,30,-4.00828323927108
0.23,31,-4.00843645065282
0.23,32,-4.00858005843271
0.23,33,-4.00871493812541
0.23,34,-4.00884186196282
0.23,35,-4.00896151368778
0.23,36,-4.00907450087584
0.23,37,-4.00918136525388
0.23,38,-4.00928259138553
0.23,39,-4.00937861401724
0.23,40,-4.00946982431985
0.23,41,-4.00955657521467
0.23,42,-4.0096391859371
0.23,43,-4.00971794596203
0.23,44,-4.00979311839282
0.23,45,-4.00986494289756
0.23,46,-4.0099336382615
0.23,47,-4.00999940461301
0.23,48,-4.01006227515689
0.23,49,-4.01012257338445
0.23,50,-4.01018045526396
0.23,51,-4.01023606318849
0.23,52,-4.01028952857852
0.23,53,-4.01034097291892
0.23,54,-4.01039050868046
0.23,55,-4.01043824014063
0.23,56,-4.01048426411637
0.23,57,-4.01052867061957
0.23,58,-4.01057154344459
0.23,59,-4.01061296069606
0.23,60,-4.01065299526367
0.23,61,-4.01069171525031
0.23,62,-4.01072918435864
0.23,63,-4.01076546224086
0.23,64,-4.01080060481556
0.23,65,-4.01083466455537
0.23,66,-4.01086769074832
0.23,67,-4.01089972973588
0.23,68,-4.01093082512989
0.23,69,-4.01096101801058
0.23,70,-4.01099034710772
0.23,71,-4.01101884896626
0.23,72,-4.01104655809833
0.23,73,-4.01107350712261
0.23,74,-4.01109972689242
0.23,75,-4.01112524661356
0.23,76,-4.01115009395283
0.23,77,-4.0111742951381
0.23,78,-4.01119787505063
0.23,79,-4.01122085731042
0.23,80,-4.01124326435511
0.23,81,-4.01126511751306
0.23,82,-4.01128643707105
0.23,83,-4.01130724233713
0.23,84,-4.01132755169891
0.23,85,-4.01134738267774
0.23,86,-4.01136675197919
0.23,87,-4.01138567553994
0.23,88,-4.01140416857151
0.23,89,-4.01142224560107
0.23,90,-4.01143992050947
0.23,91,-4.0114572065668
0.23,92,-4.01147411646563
0.23,93,-4.01149066235204
0.23,94,-4.0115068558548
0.23,95,-4.01152270811253
0.23,96,-4.01153822979933
0.23,97,-4.0115534311487
0.23,98,-4.01156832197606
0.23,99,-4.01158291169989
0.23,100,-4.01159720936156
0.23,101,-4.01161122364406
0.23,102,-4.01162496288957
0.23,103,-4.011638435116
0.23,104,-4.01165164803261
0.23,105,-4.01166460905473
0.23,106,-4.01167732531761
0.23,107,-4.01168980368954
0.23,108,-4.0117020507842
0.23,109,-4.01171407297239
0.23,110,-4.01172587639303
0.23,111,-4.01173746696363
0.23,112,-4.01174885039021
0.23,113,-4.01176003217663
0.23,114,-4.01177101763347
0.23,115,-4.01178181188646
0.23,116,-4.01179241988443
0.23,117,-4.01180284640691
0.23,118,-4.01181309607125
0.23,119,-4.01182317333949
0.23,120,-4.01183308252485
0.23,121,-4.01184282779781
0.23,122,-4.01185241319205
0.23,123,-4.01186184260994
0.23,124,-4.01187111982791
0.23,125,-4.01188024850142
0.23,126,-4.01188923216983
0.23,127,-4.01189807426093
0.23,128,-4.01190677809531
0.23,129,-4.01191534689053
0.23,130,-4.01192378376507
0.23,131,-4.01193209174215
0.23,132,-4.01194027375327
0.23,133,-4.01194833264174
0.23,134,-4.01195627116592
0.23,135,-4.01196409200239
0.23,136,-4.01197179774895
0.23,137,-4.01197939092751
0.23,138,-4.01198687398683
0.23,139,-4.01199424930514
0.23,140,-4.01200151919269
0.23,141,-4.01200868589416
0.23,142,-4.01201575159093
0.23,143,-4.01202271840335
0.23,144,-4.01202958839282
0.23,145,-4.01203636356384
0.23,146,-4.01204304586596
0.23,147,-4.01204963719564
0.23,148,-4.01205613939806
0.23,149,-4.01206255426884
0.23,150,-4.01206888355568
0.23,151,-4.01207512895995
0.23,152,-4.01208129213824
0.23,153,-4.01208737470377
0.23,154,-4.01209337822787
0.23,155,-4.01209930424127
0.23,156,-4.01210515423544
0.23,157,-4.01211092966383
0.23,158,-4.01211663194306
0.23,159,-4.01212226245411
0.23,160,-4.0121278225434
0.23,161,-4.01213331352388
0.23,162,-4.01213873667607
0.23,163,-4.01214409324904
0.23,164,-4.0121493844614
0.23,165,-4.01215461150217
0.23,166,-4.01215977553172
0.23,167,-4.01216487768262
0.23,168,-4.01216991906045
0.23,169,-4.01217490074459
0.23,170,-4.01217982378904
0.23,171,-4.01218468922312
0.23,172,-4.0121894980522
0.23,173,-4.01219425125837
0.23,174,-4.01219894980118
0.23,175,-4.01220359461818
0.23,176,-4.01220818662565
0.23,177,-4.01221272671912
0.23,178,-4.012217215774
0.23,179,-4.01222165464611
0.23,180,-4.01222604417228
0.23,181,-4.0122303851708
0.23,182,-4.01223467844198
0.23,183,-4.01223892476862
0.23,184,-4.01224312491652
0.23,185,-4.01224727963488
0.23,186,-4.01225138965681
0.23,187,-4.0122554556997
0.23,188,-4.0122594784657
0.23,189,-4.01226345864207
0.23,190,-4.0122673969016
0.23,191,-4.012271293903
0.23,192,-4.01227515029123
0.23,193,-4.01227896669787
0.23,194,-4.0122827437415
0.23,195,-4.01228648202798
0.23,196,-4.01229018215082
0.23,197,-4.01229384469146
0.23,198,-4.01229747021958
0.23,199,-4.01230105929343
0.23,200,-4.01230461246006
0.24,2,-3.72975571116515
0.24,3,-3.76056161509116
0.24,4,-3.77542579562342
0.24,5,-3.78418498565652
0.24,6,-3.78996279553777
0.24,7,-3.79405283926162
0.24,8,-3.79710657871732
0.24,9,-3.799473587862
0.24,10,-3.80135842195652
0.24,11,-3.8028960862754
0.24,12,-3.80417520136155
0.24,13,-3.80525591681053
0.24,14,-3.80618106800062
0.24,15,-3.80698198754389
0.24,16,-3.80768212335474
0.24,17,-3.80829937195688
0.24,18,-3.80884762952345
0.24,19,-3.80933785042459
0.24,20,-3.80977878655013
0.24,21,-3.81017705717951
0.24,22,-3.81053842960132
0.24,23,-3.81086823454755
0.24,24,-3.81117043518547
0.24,25,-3.81144835792737
0.24,26,-3.8117048153734
0.24,27,-3.8119422018288
0.24,28,-3.81216256827736
0.24,29,-3.81236768178759
0.24,30,-3.81255907299646
0.24,31,-3.81273807437194
0.24,32,-3.812905851278
0.24,33,-3.81306342737355
0.24,34,-3.81321170551551
0.24,35,-3.81335148506779
0.24,36,-3.81348347631716
0.24,37,-3.8136083125447
0.24,38,-3.8137265601861
0.24,39,-3.81383872742456
0.24,40,-3.81394527149147
0.24,41,-3.81404660489592
0.24,42,-3.81414310076206
0.24,43,-3.81423509741995
0.24,44,-3.81432290236883
0.24,45,-3.81440679571078
0.24,46,-3.81448703313547
0.24,47,-3.81456384852299
0.24,48,-3.81463745622072
0.24,49,-3.81470805304065
0.24,50,-3.8147758200167
0.24,51,-3.8148409239547
0.24,52,-3.81490351880328
0.24,53,-3.81496374686922
0.24,54,-3.81502173989746
0.24,55,-3.81507762003317
0.24,56,-3.81513150068042
0.24,57,-3.81518348727039
0.24,58,-3.81523367794993
0.24,59,-3.81528216419998
0.24,60,-3.81532903139202
0.24,61,-3.81537435928974
0.24,62,-3.81541822250202
0.24,63,-3.81546069089275
0.24,64,-3.8155018299521
0.24,65,-3.81554170113356
0.24,66,-3.81558036216023
0.24,67,-3.81561786730358
0.24,68,-3.81565426763772
0.24,69,-3.81568961127141
0.24,70,-3.81572394356019
0.24,71,-3.81575730730055
0.24,72,-3.81578974290793
0.24,73,-3.81582128858
0.24,74,-3.81585198044678
0.24,75,-3.8158818527086
0.24,76,-3.8159109377633
0.24,77,-3.81593926632341
0.24,78,-3.8159668675243
0.24,79,-3.81599376902419
0.24,80,-3.81601999709655
0.24,81,-3.81604557671569
0.24,82,-3.81607053163612
0.24,83,-3.81609488446607
0.24,84,-3.81611865673585
0.24,85,-3.81614186896132
0.24,86,-3.81616454070292
0.24,87,-3.8161866906207
0.24,88,-3.81620833652549
0.24,89,-3.81622949542668
0.24,90,-3.8162501835768
0.24,91,-3.81627041651317
0.24,92,-3.81629020909678
0.24,93,-3.81630957554871
0.24,94,-3.81632852948422
0.24,95,-3.81634708394465
0.24,96,-3.81636525142736
0.24,97,-3.81638304391378
0.24,98,-3.8164004728958
0.24,99,-3.81641754940046
0.24,100,-3.81643428401327
0.24,101,-3.81645068690009
0.24,102,-3.81646676782768
0.24,103,-3.81648253618312
0.24,104,-3.8164980009921
0.24,105,-3.81651317093612
0.24,106,-3.81652805436873
0.24,107,-3.81654265933093
0.24,108,-3.81655699356557
0.24,109,-3.81657106453111
0.24,110,-3.81658487941453
0.24,111,-3.81659844514356
0.24,112,-3.81661176839829
0.24,113,-3.81662485562211
0.24,114,-3.81663771303215
0.24,115,-3.81665034662905
0.24,116,-3.81666276220638
0.24,117,-3.81667496535942
0.24,118,-3.81668696149366
0.24,119,-3.81669875583269
0.24,120,-3.81671035342583
0.24,121,-3.81672175915537
0.24,122,-3.81673297774334
0.24,123,-3.81674401375811
0.24,124,-3.81675487162054
0.24,125,-3.81676555560992
0.24,126,-3.81677606986954
0.24,127,-3.81678641841212
0.24,128,-3.81679660512487
0.24,129,-3.81680663377436
0.24,130,-3.81681650801117
0.24,131,-3.81682623137433
0.24,132,-3.81683580729554
0.24,133,-3.8168452391032
0.24,134,-3.81685453002629
0.24,135,-3.81686368319803
0.24,136,-3.81687270165942
0.24,137,-3.8168815883626
0.24,138,-3.81689034617407
0.24,139,-3.8168989778778
0.24,140,-3.81690748617813
0.24,141,-3.81691587370265
0.24,142,-3.81692414300485
0.24,143,-3.81693229656676
0.24,144,-3.81694033680142
0.24,145,-3.81694826605523
0.24,146,-3.81695608661028
0.24,147,-3.8169638006865
0.24,148,-3.81697141044381
0.24,149,-3.81697891798407
0.24,150,-3.81698632535306
0.24,151,-3.81699363454234
0.24,152,-3.81700084749102
0.24,153,-3.81700796608748
0.24,154,-3.817014992171
0.24,155,-3.81702192753339
0.24,156,-3.81702877392046
0.24,157,-3.81703553303354
0.24,158,-3.81704220653083
0.24,159,-3.81704879602879
0.24,160,-3.81705530310347
0.24,161,-3.81706172929171
0.24,162,-3.81706807609238
0.24,163,-3.81707434496756
0.24,164,-3.81708053734363
0.24,165,-3.81708665461238
0.24,166,-3.81709269813203
0.24,167,-3.81709866922826
0.24,168,-3.81710456919517
0.24,169,-3.81711039929619
0.24,170,-3.81711616076501
0.24,171,-3.81712185480647
0.24,172,-3.81712748259734
0.24,173,-3.81713304528718
0.24,174,-3.8171385439991
0.24,175,-3.81714397983053
0.24,176,-3.81714935385395
0.24,177,-3.81715466711758
0.24,178,-3.81715992064606
0.24,179,-3.81716511544113
0.24,180,-3.81717025248227
0.24,181,-3.81717533272728
0.24,182,-3.8171803571129
0.24,183,-3.8171853265554
0.24,184,-3.8171902419511
0.24,185,-3.81719510417693
0.24,186,-3.81719991409097
0.24,187,-3.81720467253292
0.24,188,-3.8172093803246
0.24,189,-3.81721403827043
0.24,190,-3.8172186471579
0.24,191,-3.81722320775798
0.24,192,-3.81722772082558
0.24,193,-3.81723218709995
0.24,194,-3.8172366073051
0.24,195,-3.81724098215016
0.24,196,-3.81724531232979
0.24,197,-3.81724959852456
0.24,198,-3.81725384140125
0.24,199,-3.81725804161324
0.24,200,-3.81726219980085
0.25,2,-3.53476466592288
0.25,3,-3.57092900973442
0.25,4,-3.5882800268645
0.25,5,-3.5984743838792
0.25,6,-3.60518163121987
0.25,7,-3.60993580769619
0.25,8,-3.6134731308607
0.25,9,-3.61621367660211
0.25,10,-3.61839946225032
0.25,11,-3.62018292114871
0.25,12,-3.621662412225
0.25,13,-3.62291219200487
0.25,14,-3.62398190178067
0.25,15,-3.62490784124283
0.25,16,-3.62571716818377
0.25,17,-3.6264306058354
0.25,18,-3.62706424192175
0.25,19,-3.6276307560964
0.25,20,-3.62814027699161
0.25,21,-3.62860099302697
0.25,22,-3.62901959574265
0.25,23,-3.62940160688762
0.25,24,-3.62975162333323
0.25,25,-3.63007330596316
0.25,26,-3.63036951579496
0.25,27,-3.63064368770603
0.25,28,-3.63089819286866
0.25,29,-3.63113507406943
0.25,30,-3.63135610065406
0.25,31,-3.63156281279769
0.25,32,-3.63175655744419
0.25,33,-3.63193851768782
0.25,34,-3.63210973695214
0.25,35,-3.63227113900999
0.25,36,-3.63242354465597
0.25,37,-3.63256768566672
0.25,38,-3.63270421655012
0.25,39,-3.6328337244815
0.25,40,-3.63295673774499
0.25,41,-3.63307373293602
0.25,42,-3.63318514113209
0.25,43,-3.63329135320003
0.25,44,-3.63339272437767
0.25,45,-3.63348957824303
0.25,46,-3.63358221016442
0.25,47,-3.63367089030902
0.25,48,-3.63375586627448
0.25,49,-3.63383736539749
0.25,50,-3.63391559678466
0.25,51,-3.63399075310394
0.25,52,-3.63406301216883
0.25,53,-3.63413253834293
0.25,54,-3.63419948378797
0.25,55,-3.63426398957551
0.25,56,-3.63432618667918
0.25,57,-3.63438619686235
0.25,58,-3.63444413347372
0.25,59,-3.63450010216186
0.25,60,-3.63455420151813
0.25,61,-3.63460652365634
0.25,62,-3.63465715473604
0.25,63,-3.63470617543604
0.25,64,-3.63475366138335
0.25,65,-3.63479968354248
0.25,66,-3.63484430856935
0.25,67,-3.63488759913333
0.25,68,-3.63492961421093
0.25,69,-3.63497040935383
0.25,70,-3.63501003693392
0.25,71,-3.63504854636765
0.25,72,-3.63508598432155
0.25,73,-3.63512239490092
0.25,74,-3.63515781982316
0.25,75,-3.63519229857721
0.25,76,-3.63522586857039
0.25,77,-3.63525856526377
0.25,78,-3.63529042229715
0.25,79,-3.63532147160446
0.25,80,-3.63535174352057
0.25,81,-3.63538126688013
0.25,82,-3.63541006910917
0.25,83,-3.63543817631011
0.25,84,-3.6354656133406
0.25,85,-3.63549240388691
0.25,86,-3.63551857053209
0.25,87,-3.63554413481946
0.25,88,-3.63556911731177
0.25,89,-3.63559353764638
0.25,90,-3.63561741458672
0.25,91,-3.63564076607036
0.25,92,-3.63566360925397
0.25,93,-3.63568596055537
0.25,94,-3.63570783569285
0.25,95,-3.63572924972205
0.25,96,-3.6357502170705
0.25,97,-3.63577075157007
0.25,98,-3.63579086648737
0.25,99,-3.63581057455234
0.25,100,-3.63582988798511
0.25,101,-3.63584881852129
0.25,102,-3.6358673774357
0.25,103,-3.63588557556483
0.25,104,-3.63590342332788
0.25,105,-3.6359209307467
0.25,106,-3.63593810746451
0.25,107,-3.63595496276365
0.25,108,-3.63597150558229
0.25,109,-3.63598774453021
0.25,110,-3.63600368790379
0.25,111,-3.63601934370013
0.25,112,-3.6360347196304
0.25,113,-3.6360498231325
0.25,114,-3.63606466138313
0.25,115,-3.63607924130906
0.25,116,-3.63609356959797
0.25,117,-3.6361076527087
0.25,118,-3.63612149688088
0.25,119,-3.63613510814421
