"delta","S","v_star"
0.11,93,-8.92715550396932
0.11,94,-8.92715574398591
0.11,95,-8.92715597894943
0.11,96,-8.92715620901778
0.11,97,-8.92715643434237
0.11,98,-8.92715665506842
0.11,99,-8.92715687133528
0.11,100,-8.92715708327673
0.11,101,-8.92715729102125
0.11,102,-8.92715749469227
0.11,103,-8.92715769440845
0.11,104,-8.92715789028387
0.11,105,-8.92715808242827
0.11,106,-8.92715827094724
0.11,107,-8.92715845594243
0.11,108,-8.92715863751174
0.11,109,-8.92715881574944
0.11,110,-8.9271589907464
0.11,111,-8.92715916259022
0.11,112,-8.92715933136535
0.11,113,-8.92715949715327
0.11,114,-8.92715966003258
0.11,115,-8.92715982007916
0.11,116,-8.92715997736628
0.11,117,-8.92716013196469
0.11,118,-8.92716028394275
0.11,119,-8.92716043336651
0.11,120,-8.92716058029985
0.11,121,-8.9271607248045
0.11,122,-8.92716086694019
0.11,123,-8.92716100676469
0.11,124,-8.92716114433393
0.11,125,-8.92716127970203
0.11,126,-8.92716141292141
0.11,127,-8.92716154404281
0.11,128,-8.92716167311541
0.11,129,-8.92716180018686
0.11,130,-8.92716192530333
0.11,131,-8.92716204850961
0.11,132,-8.9271621698491
0.11,133,-8.92716228936391
0.11,134,-8.92716240709489
0.11,135,-8.92716252308169
0.11,136,-8.92716263736278
0.11,137,-8.92716274997552
0.11,138,-8.92716286095616
0.11,139,-8.92716297033994
0.11,140,-8.92716307816107
0.11,141,-8.92716318445281
0.11,142,-8.92716328924746
0.11,143,-8.92716339257644
0.11,144,-8.92716349447027
0.11,145,-8.92716359495865
0.11,146,-8.92716369407047
0.11,147,-8.9271637918338
0.11,148,-8.927163888276
0.11,149,-8.92716398342365
0.11,150,-8.92716407730266
0.11,151,-8.92716416993822
0.11,152,-8.92716426135488
0.11,153,-8.92716435157653
0.11,154,-8.92716444062646
0.11,155,-8.92716452852735
0.11,156,-8.92716461530129
0.11,157,-8.92716470096982
0.11,158,-8.92716478555392
0.11,159,-8.92716486907406
0.11,160,-8.92716495155019
0.11,161,-8.92716503300176
0.11,162,-8.92716511344774
0.11,163,-8.92716519290665
0.11,164,-8.92716527139653
0.11,165,-8.92716534893501
0.11,166,-8.92716542553928
0.11,167,-8.92716550122613
0.11,168,-8.92716557601193
0.11,169,-8.92716564991269
0.11,170,-8.92716572294401
0.11,171,-8.92716579512116
0.11,172,-8.92716586645904
0.11,173,-8.92716593697219
0.11,174,-8.92716600667483
0.11,175,-8.92716607558086
0.11,176,-8.92716614370387
0.11,177,-8.92716621105711
0.11,178,-8.92716627765357
0.11,179,-8.92716634350593
0.11,180,-8.92716640862659
0.11,181,-8.92716647302767
0.11,182,-8.92716653672104
0.11,183,-8.92716659971831
0.11,184,-8.92716666203082
0.11,185,-8.92716672366967
0.11,186,-8.92716678464573
0.11,187,-8.92716684496963
0.11,188,-8.92716690465179
0.11,189,-8.92716696370238
0.11,190,-8.92716702213138
0.11,191,-8.92716707994856
0.11,192,-8.92716713716346
0.11,193,-8.92716719378546
0.11,194,-8.92716724982373
0.11,195,-8.92716730528723
0.11,196,-8.92716736018478
0.11,197,-8.92716741452499
0.11,198,-8.9271674683163
0.11,199,-8.92716752156699
0.11,200,-8.92716757428516
0.12,2,-8.15287802154457
0.12,3,-8.15357513119235
0.12,4,-8.15392339070074
0.12,5,-8.1541322519737
0.12,6,-8.15427145349157
0.12,7,-8.15437086388816
0.12,8,-8.15444541115524
0.12,9,-8.15450338612359
0.12,10,-8.15454976216787
0.12,11,-8.15458770360571
0.12,12,-8.1546193196843
0.12,13,-8.15464607048251
0.12,14,-8.15466899881283
0.12,15,-8.15468886934159
0.12,16,-8.15470625552803
0.12,17,-8.15472159587292
0.12,18,-8.15473523141405
0.12,19,-8.154747431379
0.12,20,-8.15475841114067
0.12,21,-8.15476834504197
0.12,22,-8.15477737572219
0.12,23,-8.15478562101013
0.12,24,-8.1547931790937
0.12,25,-8.15480013244859
0.12,26,-8.1548065508603
0.12,27,-8.15481249377442
0.12,28,-8.15481801214328
0.12,29,-8.15482314989049
0.12,30,-8.15482794508252
0.12,31,-8.1548324308735
0.12,32,-8.15483663627284
0.12,33,-8.15484058677331
0.12,34,-8.15484430486824
0.12,35,-8.15484781048002
0.12,36,-8.15485112131725
0.12,37,-8.15485425317392
0.12,38,-8.15485722018131
0.12,39,-8.15486003502126
0.12,40,-8.15486270910728
0.12,41,-8.1548652527393
0.12,42,-8.15486767523621
0.12,43,-8.15486998504996
0.12,44,-8.15487218986409
0.12,45,-8.1548742966791
0.12,46,-8.1548763118867
0.12,47,-8.15487824133461
0.12,48,-8.15488009038317
0.12,49,-8.15488186395515
0.12,50,-8.15488356657943
0.12,51,-8.1548852024297
0.12,52,-8.15488677535855
0.12,53,-8.1548882889278
0.12,54,-8.1548897464354
0.12,55,-8.15489115093947
0.12,56,-8.15489250527964
0.12,57,-8.15489381209627
0.12,58,-8.15489507384763
0.12,59,-8.1548962928253
0.12,60,-8.15489747116809
0.12,61,-8.15489861087454
0.12,62,-8.15489971381425
0.12,63,-8.15490078173812
0.12,64,-8.1549018162876
0.12,65,-8.15490281900314
0.12,66,-8.15490379133179
0.12,67,-8.15490473463423
0.12,68,-8.15490565019111
0.12,69,-8.1549065392088
0.12,70,-8.15490740282475
0.12,71,-8.15490824211234
0.12,72,-8.15490905808528
0.12,73,-8.15490985170176
0.12,74,-8.15491062386816
0.12,75,-8.15491137544253
0.12,76,-8.15491210723775
0.12,77,-8.15491282002445
0.12,78,-8.15491351453379
0.12,79,-8.15491419145985
0.12,80,-8.15491485146205
0.12,81,-8.15491549516721
0.12,82,-8.1549161231716
0.12,83,-8.15491673604273
0.12,84,-8.1549173343211
0.12,85,-8.15491791852178
0.12,86,-8.15491848913586
0.12,87,-8.15491904663186
0.12,88,-8.15491959145701
0.12,89,-8.15492012403843
0.12,90,-8.15492064478427
0.12,91,-8.15492115408471
0.12,92,-8.154921652313
0.12,93,-8.15492213982631
0.12,94,-8.15492261696662
0.12,95,-8.15492308406151
0.12,96,-8.15492354142492
0.12,97,-8.15492398935783
0.12,98,-8.15492442814893
0.12,99,-8.15492485807525
0.12,100,-8.15492527940277
0.12,101,-8.15492569238688
0.12,102,-8.154926097273
0.12,103,-8.15492649429699
0.12,104,-8.15492688368565
0.12,105,-8.15492726565715
0.12,106,-8.15492764042141
0.12,107,-8.15492800818051
0.12,108,-8.15492836912904
0.12,109,-8.15492872345446
0.12,110,-8.15492907133739
0.12,111,-8.15492941295198
0.12,112,-8.15492974846611
0.12,113,-8.15493007804177
0.12,114,-8.15493040183523
0.12,115,-8.15493071999733
0.12,116,-8.15493103267372
0.12,117,-8.15493134000505
0.12,118,-8.15493164212723
0.12,119,-8.15493193917159
0.12,120,-8.15493223126506
0.12,121,-8.15493251853041
0.12,122,-8.15493280108636
0.12,123,-8.15493307904777
0.12,124,-8.15493335252582
0.12,125,-8.1549336216281
0.12,126,-8.15493388645879
0.12,127,-8.15493414711882
0.12,128,-8.15493440370592
0.12,129,-8.15493465631482
0.12,130,-8.15493490503733
0.12,131,-8.15493514996246
0.12,132,-8.1549353911765
0.12,133,-8.15493562876317
0.12,134,-8.15493586280368
0.12,135,-8.15493609337684
0.12,136,-8.15493632055913
0.12,137,-8.15493654442481
0.12,138,-8.15493676504598
0.12,139,-8.15493698249266
0.12,140,-8.15493719683289
0.12,141,-8.15493740813276
0.12,142,-8.15493761645651
0.12,143,-8.15493782186657
0.12,144,-8.15493802442364
0.12,145,-8.15493822418675
0.12,146,-8.15493842121332
0.12,147,-8.1549386155592
0.12,148,-8.15493880727872
0.12,149,-8.15493899642476
0.12,150,-8.15493918304881
0.12,151,-8.15493936720095
0.12,152,-8.15493954892998
0.12,153,-8.15493972828343
0.12,154,-8.15493990530755
0.12,155,-8.15494008004744
0.12,156,-8.15494025254702
0.12,157,-8.15494042284912
0.12,158,-8.15494059099544
0.12,159,-8.15494075702667
0.12,160,-8.15494092098247
0.12,161,-8.1549410829015
0.12,162,-8.1549412428215
0.12,163,-8.15494140077924
0.12,164,-8.15494155681063
0.12,165,-8.15494171095069
0.12,166,-8.15494186323361
0.12,167,-8.15494201369274
0.12,168,-8.15494216236065
0.12,169,-8.15494230926915
0.12,170,-8.15494245444927
0.12,171,-8.15494259793135
0.12,172,-8.154942739745
0.12,173,-8.15494287991915
0.12,174,-8.15494301848208
0.12,175,-8.15494315546139
0.12,176,-8.1549432908841
0.12,177,-8.15494342477657
0.12,178,-8.15494355716461
0.12,179,-8.15494368807342
0.12,180,-8.15494381752767
0.12,181,-8.15494394555145
0.12,182,-8.15494407216835
0.12,183,-8.15494419740143
0.12,184,-8.15494432127326
0.12,185,-8.15494444380592
0.12,186,-8.15494456502099
0.12,187,-8.15494468493961
0.12,188,-8.15494480358249
0.12,189,-8.15494492096987
0.12,190,-8.15494503712156
0.12,191,-8.15494515205699
0.12,192,-8.15494526579515
0.12,193,-8.15494537835466
0.12,194,-8.15494548975373
0.12,195,-8.15494560001024
0.12,196,-8.15494570914166
0.12,197,-8.15494581716512
0.12,198,-8.15494592409742
0.12,199,-8.15494602995501
0.12,200,-8.154946134754
0.13,2,-7.49563800050464
0.13,3,-7.49688373241532
0.13,4,-7.49750566997088
0.13,5,-7.49787853577881
0.13,6,-7.49812698943233
0.13,7,-7.49830439583891
0.13,8,-7.49843741757413
0.13,9,-7.4985408593313
0.13,10,-7.49862360039596
0.13,11,-7.49869128947241
0.13,12,-7.49874769142795
0.13,13,-7.4987954121778
0.13,14,-7.49883631277283
0.13,15,-7.4988717577864
0.13,16,-7.49890277052137
0.13,17,-7.49893013341897
0.13,18,-7.498954454987
0.13,19,-7.49897621558616
0.13,20,-7.49899579947635
0.13,21,-7.4990135177043
0.13,22,-7.4990296247475
0.13,23,-7.49904433081496
0.13,24,-7.49905781107219
0.13,25,-7.49907021265151
0.13,26,-7.49908166004431
0.13,27,-7.49909225929473
0.13,28,-7.49910210129454
0.13,29,-7.49911126439612
0.13,30,-7.49911981650279
0.13,31,-7.49912781675446
0.13,32,-7.49913531689719
0.13,33,-7.49914236240364
0.13,34,-7.49914899339582
0.13,35,-7.49915524540958
0.13,36,-7.49916115003169
0.13,37,-7.49916673543357
0.13,38,-7.49917202682079
0.13,39,-7.4991770468133
0.13,40,-7.49918181576876
0.13,41,-7.4991863520584
0.13,42,-7.49919067230356
0.13,43,-7.49919479157921
0.13,44,-7.49919872358967
