delta,S,nu_min
0.01,2,-99.98500099831122
0.01,4,-99.98500099831122
0.01,6,-99.98500099831122
0.01,8,-99.98500099831122
0.01,10,-99.98500099831122
0.01,12,-99.98500099831122
0.01,14,-99.98500099831122
0.01,16,-99.98500099831122
0.01,18,-99.98500099831122
0.01,20,-99.98500099831122
0.01,22,-99.98500099831122
0.01,24,-99.98500099831122
0.01,26,-99.98500099831122
0.01,28,-99.98500099831122
0.01,30,-99.98500099831122
0.01,32,-99.98500099831122
0.01,34,-99.98500099831122
0.01,36,-99.98500099831122
0.01,38,-99.98500099831122
0.01,40,-99.98500099831122
0.01,42,-99.98500099831122
0.01,44,-99.98500099831122
0.01,46,-99.98500099831122
0.01,48,-99.98500099831122
0.01,50,-99.98500099831122
0.01,52,-99.98500099831122
0.01,54,-99.98500099831122
0.01,56,-99.98500099831122
0.01,58,-99.98500099831122
0.01,60,-99.98500099831122
0.01,62,-99.98500099831122
0.01,64,-99.98500099831122
0.01,66,-99.98500099831122
0.01,68,-99.98500099831122
0.01,70,-99.98500099831122
0.01,72,-99.98500099831122
0.01,74,-99.98500099831122
0.01,76,-99.98500099831122
0.01,78,-99.98500099831122
0.01,80,-99.98500099831122
0.01,82,-99.98500099831122
0.01,84,-99.98500099831122
0.01,86,-99.98500099831122
0.01,88,-99.98500099831122
0.01,90,-99.98500099831122
0.01,92,-99.98500099831122
0.01,94,-99.98500099831122
0.01,96,-99.98500099831122
0.01,98,-99.98500099831122
0.01,100,-99.98500099831122
0.01,102,-99.98500099831122
0.01,104,-99.98500099831122
0.01,106,-99.98500099831122
0.01,108,-99.98500099831122
0.01,110,-99.98500099831122
0.01,112,-99.98500099831122
0.01,114,-99.98500099831122
0.01,116,-99.98500099831122
0.01,118,-99.98500099831122
0.01,120,-99.98500099831122
0.01,122,-99.98500099831122
0.01,124,-99.98500099831122
0.01,126,-99.98500099831122
0.01,128,-99.98500099831122
0.01,130,-99.98500099831122
0.01,132,-99.98500099831122
0.01,134,-99.98500099831122
0.01,136,-99.98500099831122
0.01,138,-99.98500099831122
0.01,140,-99.98500099831122
0.01,142,-99.98500099831122
0.01,144,-99.98500099831122
0.01,146,-99.98500099831122
0.01,148,-99.98500099831122
0.01,150,-99.98500099831122
0.01,152,-99.98500099831122
0.01,154,-99.98500099831122
0.01,156,-99.98500099831122
0.01,158,-99.98500099831122
0.01,160,-99.98500099831122
0.01,162,-99.98500099831122
0.01,164,-99.98500099831122
0.01,166,-99.98500099831122
0.01,168,-99.98500099831122
0.01,170,-99.98500099831122
0.01,172,-99.98500099831122
0.01,174,-99.98500099831122
0.01,176,-99.98500099831122
0.01,178,-99.98500099831122
0.01,180,-99.98500099831122
0.01,182,-99.98500099831122
0.01,184,-99.98500099831122
0.01,186,-99.98500099831122
0.01,188,-99.98500099831122
0.01,190,-99.98500099831122
0.01,192,-99.98500099831122
0.01,194,-99.98500099831122
0.01,196,-99.98500099831122
0.01,198,-99.98500099831122
0.01,200,-99.98500099831122
0.02,2,-49.97000797020451
0.02,4,-49.97000797020451
0.02,6,-49.97000797020451
0.02,8,-49.97000797020451
0.02,10,-49.97000797020451
0.02,12,-49.97000797020451
0.02,14,-49.97000797020451
0.02,16,-49.97000797020451
0.02,18,-49.97000797020451
0.02,20,-49.97000797020451
0.02,22,-49.97000797020451
0.02,24,-49.97000797020451
0.02,26,-49.97000797020451
0.02,28,-49.97000797020451
0.02,30,-49.97000797020451
0.02,32,-49.97000797020451
0.02,34,-49.97000797020451
0.02,36,-49.97000797020451
0.02,38,-49.97000797020451
0.02,40,-49.97000797020451
0.02,42,-49.97000797020451
0.02,44,-49.97000797020451
0.02,46,-49.97000797020451
0.02,48,-49.97000797020451
0.02,50,-49.97000797020451
0.02,52,-49.97000797020451
0.02,54,-49.97000797020451
0.02,56,-49.97000797020451
0.02,58,-49.97000797020451
0.02,60,-49.97000797020451
0.02,62,-49.97000797020451
0.02,64,-49.97000797020451
0.02,66,-49.97000797020451
0.02,68,-49.97000797020451
0.02,70,-49.97000797020451
0.02,72,-49.97000797020451
0.02,74,-49.97000797020451
0.02,76,-49.97000797020451
0.02,78,-49.97000797020451
0.02,80,-49.97000797020451
0.02,82,-49.97000797020451
0.02,84,-49.97000797020451
0.02,86,-49.97000797020451
0.02,88,-49.97000797020451
0.02,90,-49.97000797020451
0.02,92,-49.97000797020451
0.02,94,-49.97000797020451
0.02,96,-49.97000797020451
0.02,98,-49.97000797020451
0.02,100,-49.97000797020451
0.02,102,-49.97000797020451
0.02,104,-49.97000797020451
0.02,106,-49.97000797020451
0.02,108,-49.97000797020451
0.02,110,-49.97000797020451
0.02,112,-49.97000797020451
0.02,114,-49.97000797020451
0.02,116,-49.97000797020451
0.02,118,-49.97000797020451
0.02,120,-49.97000797020451
0.02,122,-49.97000797020451
0.02,124,-49.97000797020451
0.02,126,-49.97000797020451
0.02,128,-49.97000797020451
0.02,130,-49.97000797020451
0.02,132,-49.97000797020451
0.02,134,-49.97000797020451
0.02,136,-49.97000797020451
0.02,138,-49.97000797020451
0.02,140,-49.97000797020451
0.02,142,-49.97000797020451
0.02,144,-49.97000797020451
0.02,146,-49.97000797020451
0.02,148,-49.97000797020451
0.02,150,-49.97000797020451
0.02,152,-49.97000797020451
0.02,154,-49.97000797020451
0.02,156,-49.97000797020451
0.02,158,-49.97000797020451
0.02,160,-49.97000797020451
0.02,162,-49.97000797020451
0.02,164,-49.97000797020451
0.02,166,-49.97000797020451
0.02,168,-49.97000797020451
0.02,170,-49.97000797020451
0.02,172,-49.97000797020451
0.02,174,-49.97000797020451
0.02,176,-49.97000797020451
0.02,178,-49.97000797020451
0.02,180,-49.97000797020451
0.02,182,-49.97000797020451
0.02,184,-49.97000797020451
0.02,186,-49.97000797020451
0.02,188,-49.97000797020451
0.02,190,-49.97000797020451
0.02,192,-49.97000797020451
0.02,194,-49.97000797020451
0.02,196,-49.97000797020451
0.02,198,-49.97000797020451
0.02,200,-49.97000797020451
0.03,2,-33.2883602070708
0.03,4,-33.2883602070708
0.03,6,-33.2883602070708
0.03,8,-33.2883602070708
0.03,10,-33.28836020707056
0.03,12,-33.2883602070708
0.03,14,-33.28836020707056
0.03,16,-33.2883602070708
0.03,18,-33.2883602070708
0.03,20,-33.2883602070708
0.03,22,-33.28836020707056
0.03,24,-33.2883602070708
0.03,26,-33.2883602070708
0.03,28,-33.2883602070708
0.03,30,-33.2883602070708
0.03,32,-33.2883602070708
0.03,34,-33.2883602070708
0.03,36,-33.2883602070708
0.03,38,-33.28836020707059
0.03,40,-33.2883602070708
0.03,42,-33.2883602070708
0.03,44,-33.2883602070708
0.03,46,-33.2883602070708
0.03,48,-33.2883602070708
0.03,50,-33.2883602070708
0.03,52,-33.2883602070708
0.03,54,-33.2883602070708
0.03,56,-33.2883602070708
0.03,58,-33.2883602070708
0.03,60,-33.2883602070708
0.03,62,-33.2883602070708
0.03,64,-33.2883602070708
0.03,66,-33.2883602070708
0.03,68,-33.2883602070708
0.03,70,-33.2883602070708
0.03,72,-33.2883602070708
0.03,74,-33.2883602070708
0.03,76,-33.2883602070708
0.03,78,-33.2883602070708
0.03,80,-33.28836020707056
0.03,82,-33.2883602070708
0.03,84,-33.2883602070708
0.03,86,-33.2883602070708
0.03,88,-33.2883602070708
0.03,90,-33.2883602070708
0.03,92,-33.2883602070708
0.03,94,-33.2883602070708
0.03,96,-33.2883602070708
0.03,98,-33.2883602070708
0.03,100,-33.2883602070708
0.03,102,-33.2883602070708
0.03,104,-33.2883602070708
0.03,106,-33.2883602070708
0.03,108,-33.2883602070708
0.03,110,-33.2883602070708
0.03,112,-33.2883602070708
0.03,114,-33.2883602070708
0.03,116,-33.2883602070708
0.03,118,-33.2883602070708
0.03,120,-33.2883602070708
0.03,122,-33.2883602070708
0.03,124,-33.2883602070708
0.03,126,-33.2883602070708
0.03,128,-33.2883602070708
0.03,130,-33.2883602070708
0.03,132,-33.2883602070708
0.03,134,-33.2883602070708
0.03,136,-33.2883602070708
0.03,138,-33.2883602070708
0.03,140,-33.2883602070708
0.03,142,-33.2883602070708
0.03,144,-33.2883602070708
0.03,146,-33.2883602070708
0.03,148,-33.2883602070708
0.03,150,-33.2883602070708
0.03,152,-33.2883602070708
0.03,154,-33.2883602070708
0.03,156,-33.2883602070708
0.03,158,-33.2883602070708
0.03,160,-33.2883602070708
0.03,162,-33.2883602070708
0.03,164,-33.2883602070708
0.03,166,-33.2883602070708
0.03,168,-33.2883602070708
0.03,170,-33.2883602070708
0.03,172,-33.2883602070708
0.03,174,-33.2883602070708
0.03,176,-33.2883602070708
0.03,178,-33.2883602070708
0.03,180,-33.2883602070708
0.03,182,-33.2883602070708
0.03,184,-33.2883602070708
0.03,186,-33.2883602070708
0.03,188,-33.2883602070708
0.03,190,-33.2883602070708
0.03,192,-33.2883602070708
0.03,194,-33.2883602070708
0.03,196,-33.2883602070708
0.03,198,-33.2883602070708
0.03,200,-33.2883602070708
0.04,2,-24.94006343439002
0.04,4,-24.94006343454877
0.04,6,-24.94006343460173
0.04,8,-24.94006343462815
0.04,10,-24.940063434644088
0.04,12,-24.940063434654657
0.04,14,-24.9400634346622
0.04,16,-24.94006343466786
0.04,18,-24.940063434672307
0.04,20,-24.94006343467581
0.04,22,-24.940063434678674
0.04,24,-24.94006343468111
0.04,26,-24.940063434683175
0.04,28,-24.940063434684884
0.04,30,-24.940063434686362
0.04,32,-24.940063434687712
0.04,34,-24.940063434688923
0.04,36,-24.940063434689918
0.04,38,-24.940063434690863
0.04,40,-24.940063434691716
0.04,42,-24.940063434692426
0.04,44,-24.94006343469316
0.04,46,-24.940063434693727
0.04,48,-24.940063434694366
0.04,50,-24.940063434694846
0.04,52,-24.940063434695343
0.04,54,-24.940063434695844
0.04,56,-24.9400634346962
0.04,58,-24.940063434696643
0.04,60,-24.940063434697016
0.04,62,-24.94006343469732
0.04,64,-24.940063434697638
0.04,66,-24.940063434697908
0.04,68,-24.940063434698263
0.04,70,-24.940063434698494
0.04,72,-24.94006343469876
0.04,74,-24.940063434698992
0.04,76,-24.940063434699205
0.04,78,-24.940063434699436
0.04,80,-24.940063434699614
0.04,82,-24.940063434699844
0.04,84,-24.94006343469997
0.04,86,-24.940063434700203
0.04,88,-24.940063434700345
0.04,90,-24.94006343470056
0.04,92,-24.940063434700736
0.04,94,-24.940063434700825
0.04,96,-24.940063434700967
0.04,98,-24.940063434701056
0.04,100,-24.940063434701145
0.04,102,-24.940063434701376
0.04,104,-24.94006343470141
0.04,106,-24.94006343470159
0.04,108,-24.940063434701678
0.04,110,-24.94006343470182
0.04,112,-24.94006343470191
0.04,114,-24.940063434701997
0.04,116,-24.940063434702086
0.04,118,-24.940063434702175
0.04,120,-24.940063434702264
0.04,122,-24.940063434702353
0.04,124,-24.940063434702445
0.04,126,-24.94006343470248
0.04,128,-24.940063434702623
0.04,130,-24.94006343470271
0.04,132,-24.940063434702765
0.04,134,-24.940063434702854
0.04,136,-24.940063434702907
0.04,138,-24.940063434702996
0.04,140,-24.940063434702978
0.04,142,-24.94006343470312
0.04,144,-24.94006343470312
0.04,146,-24.940063434703156
0.04,148,-24.940063434703298
0.04,150,-24.940063434703298
0.04,152,-24.940063434703386
0.04,154,-24.940063434703386
0.04,156,-24.94006343470353
0.04,158,-24.940063434703582
0.04,160,-24.940063434703617
0.04,162,-24.94006343470367
0.04,164,-24.94006343470367
0.04,166,-24.94006343470374
0.04,168,-24.940063434703795
0.04,170,-24.94006343470383
0.04,172,-24.940063434703884
0.04,174,-24.940063434703884
0.04,176,-24.940063434703973
0.04,178,-24.940063434703973
0.04,180,-24.94006343470406
0.04,182,-24.940063434704026
0.04,184,-24.94006343470415
0.04,186,-24.94006343470415
0.04,188,-24.940063434704204
0.04,190,-24.94006343470424
0.04,192,-24.94006343470424
0.04,194,-24.940063434704328
0.04,196,-24.940063434704328
0.04,198,-24.940063434704328
0.04,200,-24.940063434704328
0.05,2,-19.925123476791413
0.05,4,-19.92512349594142
0.05,6,-19.925123502324727
0.05,8,-19.925123505516435
0.05,10,-19.925123507431476
0.05,12,-19.92512350870807
0.05,14,-19.925123509620043
0.05,16,-19.92512351030393
0.05,18,-19.925123510835885
0.05,20,-19.925123511261397
0.05,22,-19.925123511609637
0.05,24,-19.925123511899777
0.05,26,-19.925123512145294
0.05,28,-19.925123512355718
0.05,30,-19.9251235125381
0.05,32,-19.925123512697688
0.05,34,-19.925123512838475
0.05,36,-19.925123512963683
0.05,38,-19.925123513075626
0.05,40,-19.92512351317644
0.05,42,-19.925123513267657
0.05,44,-19.925123513350542
0.05,46,-19.925123513426197
0.05,48,-19.925123513495567
0.05,50,-19.925123513559452
0.05,52,-19.925123513618406
0.05,54,-19.925123513672872
0.05,56,-19.925123513723598
0.05,58,-19.925123513770696
0.05,60,-19.925123513814764
0.05,62,-19.92512351385593
0.05,64,-19.925123513894533
0.05,66,-19.92512351393082
0.05,68,-19.92512351396495
0.05,70,-19.925123513997125
0.05,72,-19.92512351402754
0.05,74,-19.925123514056313
0.05,76,-19.925123514083502
0.05,78,-19.925123514109355
0.05,80,-19.925123514133908
0.05,82,-19.92512351415725
0.05,84,-19.925123514179507
0.05,86,-19.925123514200713
0.05,88,-19.925123514220957
0.05,90,-19.925123514240276
0.05,92,-19.925123514258775
0.05,94,-19.925123514276493
0.05,96,-19.92512351429353
0.05,98,-19.92512351430979
0.05,100,-19.92512351432544
0.05,102,-19.925123514340466
0.05,104,-19.925123514354926
0.05,106,-19.92512351436883
0.05,108,-19.925123514382186
0.05,110,-19.925123514395043
0.05,112,-19.925123514407506
0.05,114,-19.925123514419507
0.05,116,-19.92512351443106
0.05,118,-19.925123514442316
0.05,120,-19.92512351445316
0.05,122,-19.92512351446354
0.05,124,-19.92512351447369
0.05,126,-19.9251235144835
0.05,128,-19.925123514493006
0.05,130,-19.925123514502193
0.05,132,-19.925123514511096
0.05,134,-19.92512351451977
0.05,136,-19.92512351452819
0.05,138,-19.925123514536327
0.05,140,-19.92512351454432
0.05,142,-19.92512351455196
0.05,144,-19.925123514559473
0.05,146,-19.925123514566774
0.05,148,-19.925123514573862
0.05,150,-19.92512351458075
0.05,152,-19.9251235145875
0.05,154,-19.925123514594034
0.05,156,-19.925123514600426
0.05,158,-19.925123514606604
0.05,160,-19.925123514612658
0.05,162,-19.92512351461857
0.05,164,-19.92512351462434
0.05,166,-19.925123514629984
0.05,168,-19.925123514635466
0.05,170,-19.925123514640863
0.05,172,-19.9251235146461
0.05,174,-19.925123514651172
0.05,176,-19.925123514656192
0.05,178,-19.925123514661053
0.05,180,-19.9251235146659
0.05,182,-19.925123514670528
0.05,184,-19.92512351467512
0.05,186,-19.925123514679555
0.05,188,-19.925123514684007
0.05,190,-19.92512351468826
0.05,192,-19.92512351469248
0.05,194,-19.92512351469654
0.05,196,-19.92512351470062
0.05,198,-19.925123514704516
0.05,200,-19.92512351470847
0.060000000000000005,2,-16.576878282902527
0.060000000000000005,4,-16.576878737449295
0.060000000000000005,6,-16.576878888964806
0.060000000000000005,8,-16.576878964722518
0.060000000000000005,10,-16.57687901017714
0.060000000000000005,12,-16.576879040480254
0.060000000000000005,14,-16.576879062125332
0.060000000000000005,16,-16.57687907835913
0.060000000000000005,18,-16.576879090985376
0.060000000000000005,20,-16.576879101086437
0.060000000000000005,22,-16.5768791093509
0.060000000000000005,24,-16.576879116237944
0.060000000000000005,26,-16.57687912206549
0.060000000000000005,28,-16.57687912706047
0.060000000000000005,30,-16.57687913138951
0.060000000000000005,32,-16.576879135177403
0.060000000000000005,34,-16.57687913851963
0.060000000000000005,36,-16.576879141490508
0.060000000000000005,38,-16.576879144148695
0.060000000000000005,40,-16.576879146541014
0.060000000000000005,42,-16.576879148705544
0.060000000000000005,44,-16.576879150673285
0.060000000000000005,46,-16.576879152469903
0.060000000000000005,48,-16.576879154116845
0.060000000000000005,50,-16.576879155631953
0.060000000000000005,52,-16.57687915703058
0.060000000000000005,54,-16.576879158325607
0.060000000000000005,56,-16.576879159528083
0.060000000000000005,58,-16.576879160647675
0.060000000000000005,60,-16.576879161692567
0.060000000000000005,62,-16.576879162670114
0.060000000000000005,64,-16.576879163586543
0.060000000000000005,66,-16.576879164447398
0.060000000000000005,68,-16.576879165257633
0.060000000000000005,70,-16.576879166021627
0.060000000000000005,72,-16.576879166743105
