delta,S,n_zero_crossings,action_structure,zero_crossings,H_at_left_boundary,H_at_right_boundary
0.01,160,0,no_zero_all_positive,NA,1.611970163259366,0.0045794790214157555
0.01,162,0,no_zero_all_positive,NA,1.611970179621442,0.004636568044809941
0.01,164,0,no_zero_all_positive,NA,1.6119701955844428,0.00469365326468707
0.01,166,0,no_zero_all_positive,NA,1.611970211162793,0.004750734681427282
0.01,168,0,no_zero_all_positive,NA,1.611970226370231,0.004807812295410718
0.01,170,0,no_zero_all_positive,NA,1.6119702412198467,0.004864886107017297
0.01,172,0,no_zero_all_positive,NA,1.6119702557241227,0.004921956116626713
0.01,174,0,no_zero_all_positive,NA,1.6119702698949676,0.004979022324619331
0.01,176,0,no_zero_all_positive,NA,1.6119702837437475,0.005036084731374624
0.01,178,0,no_zero_all_positive,NA,1.61197029728132,0.00509314333727251
0.01,180,0,no_zero_all_positive,NA,1.6119703105180574,0.005150198142692908
0.01,182,0,no_zero_all_positive,NA,1.6119703234638774,0.005207249148015292
0.01,184,0,no_zero_all_positive,NA,1.611970336128267,0.005264296353619358
0.01,186,0,no_zero_all_positive,NA,1.611970348520304,0.00532133975988458
0.01,188,0,no_zero_all_positive,NA,1.611970360648681,0.0053783793671906555
0.01,190,0,no_zero_all_positive,NA,1.611970372521724,0.005435415175917058
0.01,192,0,no_zero_all_positive,NA,1.6119703841474124,0.005492447186443261
0.01,194,0,no_zero_all_positive,NA,1.6119703955333953,0.005549475399148518
0.01,196,0,no_zero_all_positive,NA,1.611970406687012,0.005606499814412302
0.01,198,0,no_zero_all_positive,NA,1.6119704176153027,0.005663520432613645
0.01,200,0,no_zero_all_positive,NA,1.6119704283250278,0.005720537254132241
0.02,2,0,no_zero_all_positive,NA,1.4941319960810482,5.739454077158257e-5
0.02,4,0,no_zero_all_positive,NA,1.4941850043805927,1.1478524745345275e-4
0.02,6,0,no_zero_all_positive,NA,1.4942026745406203,1.7217212042996977e-4
0.02,8,0,no_zero_all_positive,NA,1.4942115097569237,2.2955516008504873e-4
0.02,10,0,no_zero_all_positive,NA,1.494216810930319,2.8693436680304885e-4
0.02,12,0,no_zero_all_positive,NA,1.4942203450640887,3.443097409676632e-4
0.02,14,0,no_zero_all_positive,NA,1.494222869454254,4.0168128296302896e-4
0.02,16,0,no_zero_all_positive,NA,1.4942247627517453,4.590489931728392e-4
0.02,18,0,no_zero_all_positive,NA,1.4942262353193447,5.164128719814531e-4
0.02,20,0,no_zero_all_positive,NA,1.494227413375242,5.737729197723418e-4
0.02,22,0,no_zero_all_positive,NA,1.4942283772403595,6.311291369291983e-4
0.02,24,0,no_zero_all_positive,NA,1.494229180462117,6.884815238359376e-4
0.02,26,0,no_zero_all_positive,NA,1.4942298601118829,7.45830080876031e-4
0.02,28,0,no_zero_all_positive,NA,1.4942304426692532,8.031748084333934e-4
0.02,30,0,no_zero_all_positive,NA,1.4942309475526265,8.605157068912739e-4
0.02,32,0,no_zero_all_positive,NA,1.4942313893258214,9.178527766333655e-4
0.02,34,0,no_zero_all_positive,NA,1.4942317791258883,9.751860180431393e-4
0.02,36,0,no_zero_all_positive,NA,1.4942321256149853,0.0010325154315038443
0.02,38,0,no_zero_all_positive,NA,1.4942324356316639,0.0010898410173989515
0.02,40,0,no_zero_all_positive,NA,1.4942327146467704,0.0011471627761117098
0.02,42,0,no_zero_all_positive,NA,1.4942329670890877,0.0012044807080255904
0.02,44,0,no_zero_all_positive,NA,1.4942331965821678,0.001261794813523398
0.02,46,0,no_zero_all_positive,NA,1.4942334061193812,0.001319105092988604
0.02,48,0,no_zero_all_positive,NA,1.4942335981952057,0.0013764115468042348
0.02,50,0,no_zero_all_positive,NA,1.4942337749050014,0.0014337141753530958
0.02,52,0,no_zero_all_positive,NA,1.4942339380217682,0.0014910129790186577
0.02,54,0,no_zero_all_positive,NA,1.4942340890558397,0.0015483079581835035
0.02,56,0,no_zero_all_positive,NA,1.494234229301787,0.0016055991132306602
0.02,58,0,no_zero_all_positive,NA,1.4942343598756196,0.0016628864445429326
0.02,60,0,no_zero_all_positive,NA,1.4942344817445488,0.0017201699525031255
0.02,62,0,no_zero_all_positive,NA,1.494234595750982,0.001777449637493822
0.02,64,0,no_zero_all_positive,NA,1.4942347026320268,0.001834725499898049
0.02,66,0,no_zero_all_positive,NA,1.4942348030354449,0.001891997540098389
0.02,68,0,no_zero_all_positive,NA,1.49423489753279,0.0019492657584769812
0.02,70,0,no_zero_all_positive,NA,1.4942349866302962,0.0020065301554170745
0.02,72,0,no_zero_all_positive,NA,1.4942350707779495,0.0020637907313005854
0.02,74,0,no_zero_all_positive,NA,1.4942351503770888,0.002121047486510097
0.02,76,0,no_zero_all_positive,NA,1.4942352257868063,0.00217830042142797
0.02,78,0,no_zero_all_positive,NA,1.4942352973293649,0.0022355495364367872
0.02,80,0,no_zero_all_positive,NA,1.4942353652948013,0.0022927948319186875
0.02,82,0,no_zero_all_positive,NA,1.4942354299448555,0.0023500363082558096
0.02,84,0,no_zero_all_positive,NA,1.4942354915163403,0.002407273965830292
0.02,86,0,no_zero_all_positive,NA,1.4942355502240385,0.002464507805024496
0.02,88,0,no_zero_all_positive,NA,1.4942356062632092,0.0025217378262203383
0.02,90,0,no_zero_all_positive,NA,1.4942356598117543,0.002578964029799735
0.02,92,0,no_zero_all_positive,NA,1.494235711032104,0.0026361864161450477
0.02,94,0,no_zero_all_positive,NA,1.494235760072867,0.0026934049856377484
0.02,96,0,no_zero_all_positive,NA,1.4942358070702682,0.0027506197386601983
0.02,98,0,no_zero_all_positive,NA,1.4942358521494103,0.0028078306755936477
0.02,100,0,no_zero_all_positive,NA,1.4942358954253887,0.0028650377968204577
0.02,102,0,no_zero_all_positive,NA,1.4942359370042722,0.0029222411027218786
0.02,104,0,no_zero_all_positive,NA,1.49423597698397,0.0029794405936798274
0.02,106,0,no_zero_all_positive,NA,1.4942360154550012,0.0030366362700757765
0.02,108,0,no_zero_all_positive,NA,1.494236052501181,0.0030938281322916428
0.02,110,0,no_zero_all_positive,NA,1.4942360882002288,0.0031510161807084547
0.02,112,0,no_zero_all_positive,NA,1.4942361226243124,0.003208200415707907
0.02,114,0,no_zero_all_positive,NA,1.4942361558405342,0.003265380837671472
0.02,116,0,no_zero_all_positive,NA,1.49423618791137,0.003322557446980623
0.02,118,0,no_zero_all_positive,NA,1.4942362188950606,0.003379730244016388
0.02,120,0,no_zero_all_positive,NA,1.4942362488459624,0.0034368992291600176
0.02,122,0,no_zero_all_positive,NA,1.494236277814868,0.0034940644027932066
0.02,124,0,no_zero_all_positive,NA,1.4942363058492942,0.0035512257652965395
0.02,126,0,no_zero_all_positive,NA,1.4942363329937391,0.003608383317051489
0.02,128,0,no_zero_all_positive,NA,1.4942363592899213,0.0036655370584388614
0.02,130,0,no_zero_all_positive,NA,1.4942363847769906,0.0037226869898399073
0.02,132,0,no_zero_all_positive,NA,1.4942364094917258,0.0037798331116354333
0.02,134,0,no_zero_all_positive,NA,1.494236433468708,0.003836975424206468
0.02,136,0,no_zero_all_positive,NA,1.4942364567404853,0.0038941139279338177
0.02,138,0,no_zero_all_positive,NA,1.4942364793377187,0.003951248623198067
0.02,140,0,no_zero_all_positive,NA,1.4942365012893184,0.0040083795103804665
0.02,142,0,no_zero_all_positive,NA,1.494236522622563,0.004065506589861156
0.02,144,0,no_zero_all_positive,NA,1.4942365433632179,0.0041226298620213875
0.02,146,0,no_zero_all_positive,NA,1.4942365635356367,0.0041797493272413
0.02,148,0,no_zero_all_positive,NA,1.4942365831628548,0.004236864985901478
0.02,150,0,no_zero_all_positive,NA,1.4942366022666809,0.004293976838382729
0.02,152,0,no_zero_all_positive,NA,1.4942366208677758,0.004351084885065193
0.02,154,0,no_zero_all_positive,NA,1.4942366389857251,0.004408189126329454
0.02,156,0,no_zero_all_positive,NA,1.4942366566391123,0.004465289562555652
0.02,158,0,no_zero_all_positive,NA,1.4942366738455788,0.004522386194124373
0.02,160,0,no_zero_all_positive,NA,1.4942366906218831,0.0045794790214157555
0.02,162,0,no_zero_all_positive,NA,1.4942367069839593,0.004636568044809941
0.02,164,0,no_zero_all_positive,NA,1.49423672294696,0.00469365326468707
0.02,166,0,no_zero_all_positive,NA,1.4942367385253101,0.004750734681427282
0.02,168,0,no_zero_all_positive,NA,1.4942367537327481,0.004807812295410718
