delta,S,nu_min,H_at_nu_min,H_at_minus_10,H_at_plus_10,H_left_boundary,H_right_boundary
0.03,177,NA,NA,1.3638399940409514,0.005064614509407095,NA,1.5492422429140864
0.03,182,NA,NA,1.3638400269540534,0.005207249148015292,NA,1.5492471266613264
0.03,187,NA,NA,1.363840058107097,0.005349860038383891,NA,1.5492517492711892
0.03,192,NA,NA,1.3638400876375876,0.005492447186443261,NA,1.5492561311430866
0.03,197,NA,NA,1.3638401156690696,0.005635010598122214,NA,1.5492602906056165
0.04,2,NA,NA,1.2192987621125562,5.739454077158257e-5,NA,1.471187460266833
0.04,7,NA,NA,1.2193744892560325,2.0086411939868043e-4,NA,1.4822961923456746
0.04,12,NA,NA,1.2193871110955972,3.443097409676632e-4,NA,1.4841617555707243
0.04,17,NA,NA,1.2193923083775513,4.8773141147839816e-4,NA,1.4849311097086735
0.04,22,NA,NA,1.2193951432718688,6.311291369289762e-4,NA,1.485351048318856
0.04,27,NA,NA,1.2193969282101265,7.74502923316156e-4,NA,1.4856155595457052
0.04,32,NA,NA,1.2193981553573294,9.178527766333655e-4,NA,1.4857974582985467
0.04,37,NA,NA,1.2193990508442327,0.0010611787028731445,NA,1.4859302195502073
0.04,42,NA,NA,1.2193997331205957,0.0012044807080255904,NA,1.4860313847586564
0.04,47,NA,NA,1.2194002702321558,0.00134775879807858,NA,1.486111033839385
0.04,52,NA,NA,1.2194007040532766,0.0014910129790186577,NA,1.486175371182363
0.04,57,NA,NA,1.2194010617655937,0.0016342432568297038,NA,1.4862284248979212
0.04,62,NA,NA,1.21940136178249,0.001777449637494044,NA,1.486272924089705
0.04,67,NA,NA,1.219401617020828,0.0019206321269913396,NA,1.4863107834261953
0.04,72,NA,NA,1.2194018368094575,0.0020637907313003634,NA,1.4863433858587778
0.04,77,NA,NA,1.2194020280541549,0.002206925456397224,NA,1.4863717552161095
0.04,82,NA,NA,1.2194021959763635,0.0023500363082555875,NA,1.4863966656683034
0.04,87,NA,NA,1.2194023445971964,0.0024931232928482316,NA,1.4864187134527926
0.04,92,NA,NA,1.2194024770636116,0.0026361864161450477,NA,1.4864383652159747
0.04,97,NA,NA,1.2194025958737138,0.0027792256841141505,NA,1.4864559914066608
0.04,102,NA,NA,1.2194027030357806,0.0029222411027218786,NA,1.486471889849679
0.04,107,NA,NA,1.219402800182712,0.00306523267793235,NA,1.4864863027111948
0.04,112,NA,NA,1.2194028886558204,0.003208200415707907,NA,1.4864994289204845
0.04,117,NA,NA,1.2194029695671322,0.00335114432200867,NA,1.486511433407143
0.04,122,NA,NA,1.2194030438463763,0.0034940644027932066,NA,1.4865224540671853
0.04,127,NA,NA,1.2194031122768665,0.003636960664017419,NA,1.48653260708385
0.04,132,NA,NA,1.2194031755232342,0.0037798331116354333,NA,1.486541991039297
0.04,137,NA,NA,1.2194032341530823,0.003922681751600043,NA,1.486550690126052
0.04,142,NA,NA,1.2194032886540713,0.004065506589861156,NA,1.4865587766800712
0.04,147,NA,NA,1.2194033394475132,0.0042083076323675694,NA,1.4865663131969071
0.04,152,NA,NA,1.2194033868992842,0.004351084885065193,NA,1.486573353950005
0.04,157,NA,NA,1.2194034313286515,0.004493838353898605,NA,1.4865799462998022
0.04,162,NA,NA,1.2194034730154673,0.004636568044809941,NA,1.4865861317604294
