delta,S,regime,n_zero_crossings,v_star
0.15000000000000002,134,screening,1,-6.444613973707244
0.15000000000000002,136,screening,1,-6.444616020264648
0.15000000000000002,138,screening,1,-6.4446180074952295
0.15000000000000002,140,screening,1,-6.444619937941836
0.15000000000000002,142,screening,1,-6.444621814004036
0.15000000000000002,144,screening,1,-6.44462363794808
0.15000000000000002,146,screening,1,-6.444625411916024
0.15000000000000002,148,screening,1,-6.444627137934128
0.15000000000000002,150,screening,1,-6.444628817920574
0.15000000000000002,152,screening,1,-6.444630453692576
0.15000000000000002,154,screening,1,-6.444632046972939
0.15000000000000002,156,screening,1,-6.444633599396111
0.15000000000000002,158,screening,1,-6.444635112513776
0.15000000000000002,160,screening,1,-6.444636587800023
0.15000000000000002,162,screening,1,-6.444638026656147
0.15000000000000002,164,screening,1,-6.444639430415075
0.15000000000000002,166,screening,1,-6.44464080034549
0.15000000000000002,168,screening,1,-6.444642137655662
0.15000000000000002,170,screening,1,-6.444643443496993
0.15000000000000002,172,screening,1,-6.444644718967326
0.15000000000000002,174,screening,1,-6.4446459651140255
0.15000000000000002,176,screening,1,-6.444647182936843
0.15000000000000002,178,screening,1,-6.444648373390598
0.15000000000000002,180,screening,1,-6.444649537387666
0.15000000000000002,182,screening,1,-6.444650675800313
0.15000000000000002,184,screening,1,-6.444651789462885
0.15000000000000002,186,screening,1,-6.44465287917383
0.15000000000000002,188,screening,1,-6.444653945697625
0.15000000000000002,190,screening,1,-6.4446549897665495
0.15000000000000002,192,screening,1,-6.444656012082374
0.15000000000000002,194,screening,1,-6.444657013317925
0.15000000000000002,196,screening,1,-6.444657994118566
0.15000000000000002,198,screening,1,-6.4446589551035816
0.15000000000000002,200,screening,1,-6.444659896867485
0.16,2,screening,1,-6.000132112251611
0.16,4,screening,1,-6.00694362650379
0.16,6,screening,1,-6.009199149918204
0.16,8,screening,1,-6.010324114437984
0.16,10,screening,1,-6.0109981995561865
0.16,12,screening,1,-6.011447217652422
0.16,14,screening,1,-6.011767762777989
0.16,16,screening,1,-6.012008072085769
0.16,18,screening,1,-6.012194920359004
0.16,20,screening,1,-6.012344361837851
0.16,22,screening,1,-6.012466607588221
0.16,24,screening,1,-6.012568462171022
0.16,26,screening,1,-6.0126546348367125
0.16,28,screening,1,-6.0127284883810885
0.16,30,screening,1,-6.012792488260587
0.16,32,screening,1,-6.012848483184854
0.16,34,screening,1,-6.0128978866188385
0.16,36,screening,1,-6.0129417977507975
0.16,38,screening,1,-6.012981084239925
0.16,40,screening,1,-6.013016440127367
0.16,42,screening,1,-6.013048427193405
0.16,44,screening,1,-6.013077505030313
0.16,46,screening,1,-6.013104053266749
0.16,48,screening,1,-6.013128388233721
0.16,50,screening,1,-6.0131507756291604
0.16,52,screening,1,-6.013171440258772
0.16,54,screening,1,-6.013190573611451
0.16,56,screening,1,-6.013208339810826
0.16,58,screening,1,-6.013224880335026
0.16,60,screening,1,-6.013240317792183
0.16,62,screening,1,-6.013254758964947
0.16,64,screening,1,-6.013268297283996
0.16,66,screening,1,-6.013281014851663
0.16,68,screening,1,-6.013292984108363
0.16,70,screening,1,-6.013304269213253
0.16,72,screening,1,-6.013314927194726
0.16,74,screening,1,-6.013325008914288
0.16,76,screening,1,-6.013334559878204
0.16,78,screening,1,-6.013343620924235
0.16,80,screening,1,-6.013352228805356
0.16,82,screening,1,-6.013360416688015
0.16,84,screening,1,-6.013368214579203
0.16,86,screening,1,-6.013375649693916
0.16,88,screening,1,-6.013382746772505
0.16,90,screening,1,-6.013389528355688
0.16,92,screening,1,-6.013396015023701
0.16,94,screening,1,-6.013402225604894
0.16,96,screening,1,-6.013408177358272
0.16,98,screening,1,-6.013413886133649
0.16,100,screening,1,-6.013419366512604
0.16,102,screening,1,-6.013424631932838
0.16,104,screening,1,-6.013429694798189
0.16,106,screening,1,-6.013434566576177
0.16,108,screening,1,-6.0134392578847216
0.16,110,screening,1,-6.013443778569389
0.16,112,screening,1,-6.013448137772369
0.16,114,screening,1,-6.013452343994178
0.16,116,screening,1,-6.013456405148991
0.16,118,screening,1,-6.013460328614341
0.16,120,screening,1,-6.013464121275842
0.16,122,screening,1,-6.013467789567516
0.16,124,screening,1,-6.013471339508225
0.16,126,screening,1,-6.013474776734617
0.16,128,screening,1,-6.013478106530998
0.16,130,screening,1,-6.013481333856434
0.16,132,screening,1,-6.013484463369397
0.16,134,screening,1,-6.013487499450201
0.16,136,screening,1,-6.013490446221451
0.16,138,screening,1,-6.013493307566736
0.16,140,screening,1,-6.013496087147686
0.16,142,screening,1,-6.013498788419618
0.16,144,screening,1,-6.013501414645855
0.16,146,screening,1,-6.013503968910889
0.16,148,screening,1,-6.013506454132457
0.16,150,screening,1,-6.013508873072665
0.16,152,screening,1,-6.013511228348223
0.16,154,screening,1,-6.013513522439894
0.16,156,screening,1,-6.013515757701202
0.16,158,screening,1,-6.013517936366497
0.16,160,screening,1,-6.013520060558387
0.16,162,screening,1,-6.013522132294659
0.16,164,screening,1,-6.01352415349465
0.16,166,screening,1,-6.013526125985193
0.16,168,screening,1,-6.013528051506116
0.16,170,screening,1,-6.0135299317153645
0.16,172,screening,1,-6.013531768193762
0.16,174,screening,1,-6.01353356244944
0.16,176,screening,1,-6.013535315921972
0.16,178,screening,1,-6.013537029986226
0.16,180,screening,1,-6.013538705955955
0.16,182,screening,1,-6.01354034508716
0.16,184,screening,1,-6.013541948581226
0.16,186,screening,1,-6.013543517587863
0.16,188,screening,1,-6.0135450532078485
0.16,190,screening,1,-6.0135465564956085
0.16,192,screening,1,-6.0135480284616305
0.16,194,screening,1,-6.013549470074725
0.16,196,screening,1,-6.013550882264161
0.16,198,screening,1,-6.013552265921651
0.16,200,screening,1,-6.013553621903241
0.17,2,screening,1,-5.612849768384768
0.17,4,screening,1,-5.622353342325141
0.17,6,screening,1,-5.625492137791839
0.17,8,screening,1,-5.627056115680975
0.17,10,screening,1,-5.627992771807761
0.17,12,screening,1,-5.628616489004419
0.17,14,screening,1,-5.629061648798391
0.17,16,screening,1,-5.629395325980323
0.17,18,screening,1,-5.629654738552052
0.17,20,screening,1,-5.629862196732658
0.17,22,screening,1,-5.630031887733891
0.17,24,screening,1,-5.630173264244874
0.17,26,screening,1,-5.630292867339052
0.17,28,screening,1,-5.630395367364182
0.17,30,screening,1,-5.630484188092633
0.17,32,screening,1,-5.63056189661306
0.17,34,screening,1,-5.630630455501311
0.17,36,screening,1,-5.630691390869754
0.17,38,screening,1,-5.630745907309771
0.17,40,screening,1,-5.630794968327642
0.17,42,screening,1,-5.630839353783598
0.17,44,screening,1,-5.630879701655823
0.17,46,screening,1,-5.630916538902963
0.17,48,screening,1,-5.630950304606521
0.17,50,screening,1,-5.630981367556032
0.17,52,screening,1,-5.631010039773953
0.17,54,screening,1,-5.631036587033468
0.17,56,screening,1,-5.631061237121378
0.17,58,screening,1,-5.631084186390606
0.17,60,screening,1,-5.631105605001592
0.17,62,screening,1,-5.631125641148774
0.17,64,screening,1,-5.631144424494271
0.17,66,screening,1,-5.631162068976977
0.17,68,screening,1,-5.631178675125747
0.17,70,screening,1,-5.631194331975879
0.17,72,screening,1,-5.631209118666047
0.17,74,screening,1,-5.6312231057761934
0.17,76,screening,1,-5.631236356454083
0.17,78,screening,1,-5.63124892736848
0.17,80,screening,1,-5.6312608695193145
0.17,82,screening,1,-5.631272228929232
0.17,84,screening,1,-5.631283047236318
0.17,86,screening,1,-5.631293362204103
0.17,88,screening,1,-5.631303208161987
0.17,90,screening,1,-5.6313126163869285
0.17,92,screening,1,-5.63132161543533
0.17,94,screening,1,-5.631330231432545
0.17,96,screening,1,-5.63133848832619
0.17,98,screening,1,-5.631346408108413
0.17,100,screening,1,-5.631354011011508
0.17,102,screening,1,-5.631361315680492
0.17,104,screening,1,-5.631368339325765
0.17,106,screening,1,-5.631375097858488
0.17,108,screening,1,-5.631381606010918
0.17,110,screening,1,-5.631387877443606
0.17,112,screening,1,-5.631393924841104
0.17,114,screening,1,-5.631399759997605
0.17,116,screening,1,-5.631405393893716
0.17,118,screening,1,-5.631410836765422
0.17,120,screening,1,-5.631416098166147
0.17,122,screening,1,-5.631421187022724
0.17,124,screening,1,-5.631426111685929
0.17,126,screening,1,-5.631430879976216
0.17,128,screening,1,-5.631435499225151
0.17,130,screening,1,-5.631439976313033
0.17,132,screening,1,-5.631444317703088
0.17,134,screening,1,-5.631448529472592
0.17,136,screening,1,-5.631452617341266
0.17,138,screening,1,-5.631456586697184
0.17,140,screening,1,-5.6314604426204715
0.17,142,screening,1,-5.6314641899049915
0.17,144,screening,1,-5.631467833078231
0.17,146,screening,1,-5.631471376419548
0.17,148,screening,1,-5.631474823976942
0.17,150,screening,1,-5.631478179582476
0.17,152,screening,1,-5.631481446866493
0.17,154,screening,1,-5.631484629270709
0.17,156,screening,1,-5.631487730060313
0.17,158,screening,1,-5.631490752335138
0.17,160,screening,1,-5.631493699039996
0.17,162,screening,1,-5.631496572974258
0.17,164,screening,1,-5.6314993768007096
0.17,166,screening,1,-5.6315021130537914
0.17,168,screening,1,-5.631504784147238
0.17,170,screening,1,-5.631507392381175
0.17,172,screening,1,-5.631509939948731
0.17,174,screening,1,-5.631512428942181
0.17,176,screening,1,-5.631514861358688
0.17,178,screening,1,-5.631517239105632
0.17,180,screening,1,-5.631519564005617
0.17,182,screening,1,-5.631521837801113
0.17,184,screening,1,-5.6315240621588245
0.17,186,screening,1,-5.631526238673753
0.17,188,screening,1,-5.631528368873024
0.17,190,screening,1,-5.631530454219449
0.17,192,screening,1,-5.6315324961148825
0.17,194,screening,1,-5.631534495903362
0.17,196,screening,1,-5.631536454874057
0.17,198,screening,1,-5.631538374264044
0.17,200,screening,1,-5.6315402552609095
0.18000000000000002,2,screening,1,-5.265412716296476
0.18000000000000002,4,screening,1,-5.278178624508482
0.18000000000000002,6,screening,1,-5.282382385910316
0.18000000000000002,8,screening,1,-5.2844746652902375
0.18000000000000002,10,screening,1,-5.285726968481782
0.18000000000000002,12,screening,1,-5.286560562272798
0.18000000000000002,14,screening,1,-5.28715536249815
0.18000000000000002,16,screening,1,-5.2876011216877945
0.18000000000000002,18,screening,1,-5.287947621315292
0.18000000000000002,20,screening,1,-5.288224693827006
0.18000000000000002,22,screening,1,-5.288451305450539
0.18000000000000002,24,screening,1,-5.288640090687421
0.18000000000000002,26,screening,1,-5.288799791020769
0.18000000000000002,28,screening,1,-5.288936647097298
0.18000000000000002,30,screening,1,-5.289055233357323
0.18000000000000002,32,screening,1,-5.289158979320458
0.18000000000000002,34,screening,1,-5.289250506689985
0.18000000000000002,36,screening,1,-5.289331853974777
0.18000000000000002,38,screening,1,-5.289404630109582
0.18000000000000002,40,screening,1,-5.28947012194701
0.18000000000000002,42,screening,1,-5.289529371010725
0.18000000000000002,44,screening,1,-5.289583229298493
0.18000000000000002,46,screening,1,-5.28963240051633
0.18000000000000002,48,screening,1,-5.28967747099623
0.18000000000000002,50,screening,1,-5.289718933188189
0.18000000000000002,52,screening,1,-5.289757203727178
0.18000000000000002,54,screening,1,-5.289792637482509
0.18000000000000002,56,screening,1,-5.289825538594638
0.18000000000000002,58,screening,1,-5.2898561692270585
0.18000000000000002,60,screening,1,-5.289884756566739
0.18000000000000002,62,screening,1,-5.289911498468838
0.18000000000000002,64,screening,1,-5.289936568042431
0.18000000000000002,66,screening,1,-5.289960117402
0.18000000000000002,68,screening,1,-5.289982280756539
0.18000000000000002,70,screening,1,-5.290003176968828
0.18000000000000002,72,screening,1,-5.290022911687929
0.18000000000000002,74,screening,1,-5.290041579135722
0.18000000000000002,76,screening,1,-5.290059263611197
0.18000000000000002,78,screening,1,-5.290076040763223
0.18000000000000002,80,screening,1,-5.290091978672311
0.18000000000000002,82,screening,1,-5.290107138773994
0.18000000000000002,84,screening,1,-5.290121576650241
0.18000000000000002,86,screening,1,-5.290135342710403
0.18000000000000002,88,screening,1,-5.290148482779246
0.18000000000000002,90,screening,1,-5.290161038606563
0.18000000000000002,92,screening,1,-5.290173048310276
0.18000000000000002,94,screening,1,-5.290184546762966
0.18000000000000002,96,screening,1,-5.29019556593005
0.18000000000000002,98,screening,1,-5.290206135166549
0.18000000000000002,100,screening,1,-5.290216281478214
0.18000000000000002,102,screening,1,-5.290226029751941
0.18000000000000002,104,screening,1,-5.290235402959571
0.18000000000000002,106,screening,1,-5.290244422338617
0.18000000000000002,108,screening,1,-5.290253107552912
0.18000000000000002,110,screening,1,-5.290261476835713
0.18000000000000002,112,screening,1,-5.290269547117476
0.18000000000000002,114,screening,1,-5.290277334140167
0.18000000000000002,116,screening,1,-5.2902848525597586
0.18000000000000002,118,screening,1,-5.290292116038292
0.18000000000000002,120,screening,1,-5.29029913732672
0.18000000000000002,122,screening,1,-5.29030592833962
0.18000000000000002,124,screening,1,-5.290312500222659
0.18000000000000002,126,screening,1,-5.290318863413635
0.18000000000000002,128,screening,1,-5.290325027697796
0.18000000000000002,130,screening,1,-5.2903310022580525
0.18000000000000002,132,screening,1,-5.290336795720621
0.18000000000000002,134,screening,1,-5.290342416196573
0.18000000000000002,136,screening,1,-5.290347871319737
0.18000000000000002,138,screening,1,-5.290353168281275
0.18000000000000002,140,screening,1,-5.290358313861326
0.18000000000000002,142,screening,1,-5.290363314457942
0.18000000000000002,144,screening,1,-5.290368176113644
0.18000000000000002,146,screening,1,-5.290372904539769
0.18000000000000002,148,screening,1,-5.290377505138856
0.18000000000000002,150,screening,1,-5.290381983025242
0.18000000000000002,152,screening,1,-5.290386343044018
0.18000000000000002,154,screening,1,-5.290390589788525
0.18000000000000002,156,screening,1,-5.290394727616492
0.18000000000000002,158,screening,1,-5.290398760664953
0.18000000000000002,160,screening,1,-5.290402692864041
0.18000000000000002,162,screening,1,-5.290406527949765
0.18000000000000002,164,screening,1,-5.290410269475851
0.18000000000000002,166,screening,1,-5.290413920824719
0.18000000000000002,168,screening,1,-5.29041748521769
0.18000000000000002,170,screening,1,-5.290420965724457
0.18000000000000002,172,screening,1,-5.290424365271911
0.18000000000000002,174,screening,1,-5.2904276866523405
0.18000000000000002,176,screening,1,-5.290430932531088
0.18000000000000002,178,screening,1,-5.290434105453677
0.18000000000000002,180,screening,1,-5.29043720785248
0.18000000000000002,182,screening,1,-5.290440242052922
0.18000000000000002,184,screening,1,-5.290443210279309
0.18000000000000002,186,screening,1,-5.2904461146602575
0.18000000000000002,188,screening,1,-5.290448957233784
0.18000000000000002,190,screening,1,-5.290451739952083
0.18000000000000002,192,screening,1,-5.290454464685984
0.18000000000000002,194,screening,1,-5.290457133229161
0.18000000000000002,196,screening,1,-5.290459747302061
0.18000000000000002,198,screening,1,-5.290462308555604
0.18000000000000002,200,screening,1,-5.290464818574662
0.19,2,screening,1,-4.95135750987356
0.19,4,screening,1,-4.967936514044874
0.19,6,screening,1,-4.97337944566678
0.19,8,screening,1,-4.976085386335402
0.19,10,screening,1,-4.977703997096842
0.19,12,screening,1,-4.978781010251035
0.19,14,screening,1,-4.979549297092771
0.19,16,screening,1,-4.98012496122809
0.19,18,screening,1,-4.98057237365973
0.19,20,screening,1,-4.980930098096115
0.19,22,screening,1,-4.981222645897141
0.19,24,screening,1,-4.98146634237423
0.19,26,screening,1,-4.9816724808113895
0.19,28,screening,1,-4.9818491225563895
0.19,30,screening,1,-4.982002175977713
0.19,32,screening,1,-4.982136070234019
0.19,34,screening,1,-4.982254190922408
0.19,36,screening,1,-4.982359170325841
0.19,38,screening,1,-4.982453085892967
0.19,40,screening,1,-4.982537599105778
0.19,42,screening,1,-4.982614054627489
0.19,44,screening,1,-4.982683552381902
0.19,46,screening,1,-4.982747000810712
0.19,48,screening,1,-4.982805156803768
0.19,50,screening,1,-4.982858656037268
0.19,52,screening,1,-4.982908036304665
0.19,54,screening,1,-4.982953755658512
0.19,56,screening,1,-4.982996206661589
0.19,58,screening,1,-4.983035727687181
0.19,60,screening,1,-4.9830726119575814
0.19,62,screening,1,-4.9831071148318955
0.19,64,screening,1,-4.983139459726424
0.19,66,screening,1,-4.983169842957834
0.19,68,screening,1,-4.983198437731112
0.19,70,screening,1,-4.9832253974433804
0.19,72,screening,1,-4.983250858436758
0.19,74,screening,1,-4.9832749423045195
0.19,76,screening,1,-4.983297757832902
0.19,78,screening,1,-4.983319402644003
0.19,80,screening,1,-4.983339964592102
0.19,82,screening,1,-4.9833595229555225
0.19,84,screening,1,-4.983378149458135
0.19,86,screening,1,-4.983395909148259
0.19,88,screening,1,-4.983412861157639
0.19,90,screening,1,-4.983429059359179
0.19,92,screening,1,-4.98344455293884
0.19,94,screening,1,-4.983459386894496
0.19,96,screening,1,-4.9834736024724045
0.19,98,screening,1,-4.983487237550198
0.19,100,screening,1,-4.983500326973906
0.19,102,screening,1,-4.9835129028553045
0.19,104,screening,1,-4.983524994834942
0.19,106,screening,1,-4.983536630315369
0.19,108,screening,1,-4.983547834668457
0.19,110,screening,1,-4.9835586314200775
0.19,112,screening,1,-4.983569042414994
0.19,114,screening,1,-4.983579087964384
0.19,116,screening,1,-4.9835887869781
0.19,118,screening,1,-4.983598157083469
0.19,120,screening,1,-4.9836072147322135
0.19,122,screening,1,-4.983615975296849
0.19,124,screening,1,-4.983624453157746
0.19,126,screening,1,-4.983632661781903
0.19,128,screening,1,-4.9836406137943285
0.19,130,screening,1,-4.983648321042833
0.19,132,screening,1,-4.983655794656927
0.19,134,screening,1,-4.983663045101445
0.19,136,screening,1,-4.9836700822254345
0.19,138,screening,1,-4.983676915306794
0.19,140,screening,1,-4.983683553093081
0.19,142,screening,1,-4.9836900038388725
0.19,144,screening,1,-4.983696275340015
0.19,146,screening,1,-4.983702374965048
0.19,148,screening,1,-4.983708309684087
0.19,150,screening,1,-4.983714086095396
0.19,152,screening,1,-4.983719710449857
0.19,154,screening,1,-4.983725188673531
0.19,156,screening,1,-4.9837305263884915
0.19,158,screening,1,-4.983735728932067
0.19,160,screening,1,-4.98374080137464
0.19,162,screening,1,-4.983745748536138
0.19,164,screening,1,-4.983750575001299
0.19,166,screening,1,-4.983755285133851
0.19,168,screening,1,-4.983759883089667
0.19,170,screening,1,-4.983764372828999
0.19,172,screening,1,-4.983768758127852
0.19,174,screening,1,-4.98377304258857
0.19,176,screening,1,-4.983777229649719
0.19,178,screening,1,-4.983781322595277
0.19,180,screening,1,-4.983785324563235
0.19,182,screening,1,-4.98378923855361
0.19,184,screening,1,-4.983793067435956
0.19,186,screening,1,-4.9837968139563715
0.19,188,screening,1,-4.983800480744072
0.19,190,screening,1,-4.983804070317542
0.19,192,screening,1,-4.983807585090307
0.19,194,screening,1,-4.983811027376337
0.19,196,screening,1,-4.9838143993951345
0.19,198,screening,1,-4.9838177032765065
0.19,200,screening,1,-4.983820941065046
0.2,2,screening,1,-4.665332558520364
0.2,4,screening,1,-4.686468361149467
0.2,6,screening,1,-4.693378260656368
0.2,8,screening,1,-4.6968080345856675
0.2,10,screening,1,-4.698857868975456
0.2,12,screening,1,-4.700218738082098
0.2,14,screening,1,-4.701180577518047
0.2,16,screening,1,-4.70190114706146
0.2,18,screening,1,-4.702461110281387
0.2,20,screening,1,-4.702908778736743
0.2,22,screening,1,-4.703274853245204
0.2,24,screening,1,-4.703579778091468
0.2,26,screening,1,-4.703837693993572
0.2,28,screening,1,-4.70405869369675
0.2,30,screening,1,-4.7042501737158915
0.2,32,screening,1,-4.704417678323897
0.2,34,screening,1,-4.704565445191043
0.2,36,screening,1,-4.704696768872929
0.2,38,screening,1,-4.704814249350303
0.2,40,screening,1,-4.704919965906633
0.2,42,screening,1,-4.705015601262715
0.2,44,screening,1,-4.705102531814949
0.2,46,screening,1,-4.705181894305651
0.2,48,screening,1,-4.7052546358070675
0.2,50,screening,1,-4.705321551696305
0.2,52,screening,1,-4.705383314857733
0.2,54,screening,1,-4.705440498389483
0.2,56,screening,1,-4.70549359343959
0.2,58,screening,1,-4.70554302334846
0.2,60,screening,1,-4.705589154960312
0.2,62,screening,1,-4.705632307743392
0.2,64,screening,1,-4.705672761198719
0.2,66,screening,1,-4.705710760920671
0.2,68,screening,1,-4.705746523587217
0.2,70,screening,1,-4.705780241094022
0.2,72,screening,1,-4.705812083999011
0.2,74,screening,1,-4.705842204407953
0.2,76,screening,1,-4.705870738404101
0.2,78,screening,1,-4.7058978081037814
0.2,80,screening,1,-4.705923523403442
0.2,82,screening,1,-4.7059479834708595
0.2,84,screening,1,-4.705971278023184
0.2,86,screening,1,-4.705993488426542
0.2,88,screening,1,-4.706014688645595
0.2,90,screening,1,-4.706034946066424
0.2,92,screening,1,-4.706054322212
0.2,94,screening,1,-4.706072873366293
0.2,96,screening,1,-4.7060906511203004
0.2,98,screening,1,-4.706107702851185
0.2,100,screening,1,-4.706124072143888
0.2,102,screening,1,-4.7061397991631155
0.2,104,screening,1,-4.70615492098237
0.2,106,screening,1,-4.7061694718757305
0.2,108,screening,1,-4.706183483577185
0.2,110,screening,1,-4.706196985511657
0.2,112,screening,1,-4.70621000500128
0.2,114,screening,1,-4.706222567449931
0.2,116,screening,1,-4.706234696508684
0.2,118,screening,1,-4.706246414224411
0.2,120,screening,1,-4.706257741173532
0.2,122,screening,1,-4.7062686965825975
0.2,124,screening,1,-4.706279298437192
0.2,126,screening,1,-4.70628956358047
0.2,128,screening,1,-4.706299507802441
0.2,130,screening,1,-4.706309145921024
0.2,132,screening,1,-4.706318491855705
0.2,134,screening,1,-4.70632755869463
0.2,136,screening,1,-4.706336358755742
0.2,138,screening,1,-4.706344903642622
0.2,140,screening,1,-4.706353204295535
0.2,142,screening,1,-4.706361271038155
0.2,144,screening,1,-4.706369113620406
0.2,146,screening,1,-4.70637674125777
0.2,148,screening,1,-4.7063841626674146
0.2,150,screening,1,-4.706391386101422
0.2,152,screening,1,-4.706398419377401
0.2,154,screening,1,-4.70640526990671
0.2,156,screening,1,-4.706411944720501
0.2,158,screening,1,-4.706418450493802
0.2,160,screening,1,-4.7064247935677725
0.2,162,screening,1,-4.706430979970329
0.2,164,screening,1,-4.706437015435239
0.2,166,screening,1,-4.706442905419859
0.2,168,screening,1,-4.706448655121589
0.2,170,screening,1,-4.706454269493162
0.2,172,screening,1,-4.706459753256884
0.2,174,screening,1,-4.706465110917874
0.2,176,screening,1,-4.706470346776408
0.2,178,screening,1,-4.706475464939437
0.2,180,screening,1,-4.706480469331324
0.2,182,screening,1,-4.7064853637038775
0.2,184,screening,1,-4.706490151645742
0.2,186,screening,1,-4.706494836591162
0.2,188,screening,1,-4.706499421828205
0.2,190,screening,1,-4.706503910506454
0.2,192,screening,1,-4.7065083056442205
0.2,194,screening,1,-4.706512610135316
0.2,196,screening,1,-4.706516826755403
0.2,198,screening,1,-4.706520958167968
0.2,200,screening,1,-4.70652500692993
0.21000000000000002,2,screening,1,-4.403366880742935
0.21000000000000002,4,screening,1,-4.42957590713716
0.21000000000000002,6,screening,1,-4.4381122207085655
0.21000000000000002,8,screening,1,-4.442343178277261
0.21000000000000002,10,screening,1,-4.444869888435833
0.21000000000000002,12,screening,1,-4.4465494275113295
0.21000000000000002,14,screening,1,-4.4477466843258195
0.21000000000000002,16,screening,1,-4.448643307907972
0.21000000000000002,18,screening,1,-4.449339900642609
0.21000000000000002,20,screening,1,-4.449896682933215
0.21000000000000002,22,screening,1,-4.450348031825585
0.21000000000000002,24,screening,1,-4.450723003369462
0.21000000000000002,26,screening,1,-4.451040143512802
0.21000000000000002,28,screening,1,-4.45131187326636
0.21000000000000002,30,screening,1,-4.4515472942565015
0.21000000000000002,32,screening,1,-4.451753228118526
0.21000000000000002,34,screening,1,-4.451934888352074
0.21000000000000002,36,screening,1,-4.452096327824747
0.21000000000000002,38,screening,1,-4.452240744719568
0.21000000000000002,40,screening,1,-4.452370696550498
0.21000000000000002,42,screening,1,-4.452488252936919
0.21000000000000002,44,screening,1,-4.452595106651338
0.21000000000000002,46,screening,1,-4.45269265565755
0.21000000000000002,48,screening,1,-4.4527820646117
0.21000000000000002,50,screening,1,-4.452864311584073
0.21000000000000002,52,screening,1,-4.452940223985541
0.21000000000000002,54,screening,1,-4.453010506500829
0.21000000000000002,56,screening,1,-4.453075763029176
0.21000000000000002,58,screening,1,-4.453136514080497
0.21000000000000002,60,screening,1,-4.453193210688583
0.21000000000000002,62,screening,1,-4.453246245628589
0.21000000000000002,64,screening,1,-4.453295962529159
0.21000000000000002,66,screening,1,-4.453342663326148
0.21000000000000002,68,screening,1,-4.453386614399745
0.21000000000000002,70,screening,1,-4.453428051658553
0.21000000000000002,72,screening,1,-4.453467184775546
0.21000000000000002,74,screening,1,-4.453504200736527
0.21000000000000002,76,screening,1,-4.45353926682782
0.21000000000000002,78,screening,1,-4.453572533163944
0.21000000000000002,80,screening,1,-4.453604134835817
0.21000000000000002,82,screening,1,-4.453634193744351
0.21000000000000002,84,screening,1,-4.453662820171904
0.21000000000000002,86,screening,1,-4.453690114134284
0.21000000000000002,88,screening,1,-4.453716166548264
0.21000000000000002,90,screening,1,-4.453741060243313
0.21000000000000002,92,screening,1,-4.453764870841271
0.21000000000000002,94,screening,1,-4.453787667523638
0.21000000000000002,96,screening,1,-4.453809513702906
0.21000000000000002,98,screening,1,-4.453830467611611
0.21000000000000002,100,screening,1,-4.453850582820675
0.21000000000000002,102,screening,1,-4.453869908696709
0.21000000000000002,104,screening,1,-4.453888490806526
0.21000000000000002,106,screening,1,-4.453906371275835
0.21000000000000002,108,screening,1,-4.453923589108052
0.21000000000000002,110,screening,1,-4.453940180468307
0.21000000000000002,112,screening,1,-4.453956178937016
0.21000000000000002,114,screening,1,-4.453971615736735
0.21000000000000002,116,screening,1,-4.453986519935536
0.21000000000000002,118,screening,1,-4.454000918629694
0.21000000000000002,120,screening,1,-4.45401483710809
0.21000000000000002,122,screening,1,-4.454028299000439
0.21000000000000002,124,screening,1,-4.454041326411159
0.21000000000000002,126,screening,1,-4.4540539400404935
0.21000000000000002,128,screening,1,-4.454066159294265
0.21000000000000002,130,screening,1,-4.454078002383496
0.21000000000000002,132,screening,1,-4.454089486414971
0.21000000000000002,134,screening,1,-4.454100627473678
0.21000000000000002,136,screening,1,-4.454111440697979
0.21000000000000002,138,screening,1,-4.454121940348238
0.21000000000000002,140,screening,1,-4.454132139869564
0.21000000000000002,142,screening,1,-4.45414205194925
0.21000000000000002,144,screening,1,-4.4541516885694215
0.21000000000000002,146,screening,1,-4.454161061055358
0.21000000000000002,148,screening,1,-4.454170180119892
0.21000000000000002,150,screening,1,-4.454179055904262
0.21000000000000002,152,screening,1,-4.454187698015727
0.21000000000000002,154,screening,1,-4.454196115562257
0.21000000000000002,156,screening,1,-4.454204317184556
0.21000000000000002,158,screening,1,-4.45421231108564
0.21000000000000002,160,screening,1,-4.4542201050582095
0.21000000000000002,162,screening,1,-4.454227706509989
0.21000000000000002,164,screening,1,-4.454235122487206
0.21000000000000002,166,screening,1,-4.4542423596963765
0.21000000000000002,168,screening,1,-4.454249424524539
0.21000000000000002,170,screening,1,-4.454256323058046
0.21000000000000002,172,screening,1,-4.454263061100064
0.21000000000000002,174,screening,1,-4.454269644186842
0.21000000000000002,176,screening,1,-4.45427607760289
0.21000000000000002,178,screening,1,-4.454282366395127
0.21000000000000002,180,screening,1,-4.454288515386083
0.21000000000000002,182,screening,1,-4.454294529186233
0.21000000000000002,184,screening,1,-4.454300412205526
0.21000000000000002,186,screening,1,-4.454306168664169
0.21000000000000002,188,screening,1,-4.454311802602724
0.21000000000000002,190,screening,1,-4.454317317891569
0.21000000000000002,192,screening,1,-4.454322718239757
0.21000000000000002,194,screening,1,-4.454328007203342
0.21000000000000002,196,screening,1,-4.454333188193186
0.21000000000000002,198,screening,1,-4.454338264482289
0.21000000000000002,200,screening,1,-4.454343239212695
0.22,2,screening,1,-4.161841928426004
0.22,4,screening,1,-4.193933612786181
0.22,6,screening,1,-4.204279581856369
